dataset,partition_type,partition_bin,instance_count,ranking_safe_instance_count,ranking_safe_pct_has_safe,ranking_safe_pct_no_safe,ranking_safe_unconditional_pct_w_0.05,ranking_safe_pct_w_0.05,ranking_safe_conditional_pct_w_0.05,ranking_safe_unconditional_pct_w_0.1,ranking_safe_pct_w_0.1,ranking_safe_conditional_pct_w_0.1,ranking_safe_unconditional_pct_w_0.3,ranking_safe_pct_w_0.3,ranking_safe_conditional_pct_w_0.3,ranking_safe_unconditional_pct_w_0.5,ranking_safe_pct_w_0.5,ranking_safe_conditional_pct_w_0.5,ranking_safe_unconditional_pct_w_1.0,ranking_safe_pct_w_1.0,ranking_safe_conditional_pct_w_1.0,recall_safe_instance_count,recall_safe_pct_has_safe,recall_safe_pct_no_safe,recall_safe_unconditional_pct_w_0.05,recall_safe_pct_w_0.05,recall_safe_conditional_pct_w_0.05,recall_safe_unconditional_pct_w_0.1,recall_safe_pct_w_0.1,recall_safe_conditional_pct_w_0.1,recall_safe_unconditional_pct_w_0.3,recall_safe_pct_w_0.3,recall_safe_conditional_pct_w_0.3,recall_safe_unconditional_pct_w_0.5,recall_safe_pct_w_0.5,recall_safe_conditional_pct_w_0.5,recall_safe_unconditional_pct_w_1.0,recall_safe_pct_w_1.0,recall_safe_conditional_pct_w_1.0
fiqa,df_band,DF=2-5,36,26,72.22222222222221,27.77777777777778,0.0,0.0,0.0,0.0,0.0,0.0,2.7777777777777777,2.7777777777777777,3.8461538461538463,5.555555555555555,5.555555555555555,7.6923076923076925,63.888888888888886,63.888888888888886,88.46153846153845,10,27.77777777777778,72.22222222222221,0.0,0.0,0.0,2.7777777777777777,2.7777777777777777,10.0,0.0,0.0,0.0,8.333333333333332,8.333333333333332,30.0,16.666666666666664,16.666666666666664,60.0
fiqa,df_band,DF=6-20,113,65,57.52212389380531,42.47787610619469,0.0,0.0,0.0,2.6548672566371683,2.6548672566371683,4.615384615384616,11.504424778761061,11.504424778761061,20.0,8.849557522123893,8.849557522123893,15.384615384615385,34.51327433628318,34.51327433628318,60.0,9,7.964601769911504,92.03539823008849,0.0,0.0,0.0,0.8849557522123894,0.8849557522123894,11.11111111111111,2.6548672566371683,2.6548672566371683,33.33333333333333,0.0,0.0,0.0,4.424778761061947,4.424778761061947,55.55555555555556
fiqa,df_band,DF>20_rel<0.1%,193,103,53.36787564766839,46.63212435233161,0.0,0.0,0.0,1.0362694300518136,1.0362694300518136,1.9417475728155338,7.253886010362693,7.253886010362693,13.592233009708737,11.917098445595855,11.917098445595855,22.330097087378643,33.160621761658035,33.160621761658035,62.13592233009708,38,19.689119170984455,80.31088082901555,0.0,0.0,0.0,4.66321243523316,4.66321243523316,23.684210526315788,3.6269430051813467,3.6269430051813467,18.421052631578945,2.5906735751295336,2.5906735751295336,13.157894736842104,8.808290155440414,8.808290155440414,44.73684210526316
fiqa,df_band,DF>20_rel>1%,4134,1342,32.46250604741171,67.53749395258829,0.21770682148040638,0.21770682148040638,0.6706408345752608,0.5079825834542816,0.5079825834542816,1.564828614008942,5.805515239477503,5.805515239477503,17.883755588673623,6.41025641025641,6.41025641025641,19.746646795827125,19.521044992743107,19.521044992743107,60.134128166915055,343,8.2970488630866,91.7029511369134,0.0,0.0,0.0,0.3386550556361877,0.3386550556361877,4.081632653061225,2.6124818577648767,2.6124818577648767,31.486880466472307,1.7658442186744074,1.7658442186744074,21.282798833819243,3.5800677310111273,3.5800677310111273,43.14868804664723
fiqa,df_band,DF>20_rel_0.1-1%,1372,604,44.02332361516035,55.97667638483965,0.21865889212827988,0.21865889212827988,0.49668874172185434,1.1661807580174928,1.1661807580174928,2.6490066225165565,5.539358600583091,5.539358600583091,12.582781456953644,11.005830903790088,11.005830903790088,25.0,26.0932944606414,26.0932944606414,59.27152317880795,219,15.962099125364432,84.03790087463557,0.0728862973760933,0.0728862973760933,0.45662100456621,1.4577259475218658,1.4577259475218658,9.1324200913242,4.227405247813411,4.227405247813411,26.48401826484018,4.081632653061225,4.081632653061225,25.570776255707763,6.122448979591836,6.122448979591836,38.35616438356164
fiqa,idf_decile,D1,2115,625,29.550827423167846,70.44917257683215,0.2364066193853428,0.2364066193853428,0.8,0.4728132387706856,0.4728132387706856,1.6,5.390070921985815,5.390070921985815,18.240000000000002,5.957446808510639,5.957446808510639,20.16,17.494089834515368,17.494089834515368,59.199999999999996,132,6.24113475177305,93.75886524822695,0.0,0.0,0.0,0.0,0.0,0.0,2.2222222222222223,2.2222222222222223,35.60606060606061,1.1347517730496455,1.1347517730496455,18.181818181818183,2.884160756501182,2.884160756501182,46.21212121212121
fiqa,idf_decile,D10,219,132,60.273972602739725,39.726027397260275,0.0,0.0,0.0,1.36986301369863,1.36986301369863,2.272727272727273,10.95890410958904,10.95890410958904,18.181818181818183,10.50228310502283,10.50228310502283,17.424242424242426,37.44292237442922,37.44292237442922,62.121212121212125,32,14.61187214611872,85.38812785388129,0.0,0.0,0.0,3.1963470319634704,3.1963470319634704,21.875,2.73972602739726,2.73972602739726,18.75,1.82648401826484,1.82648401826484,12.5,6.8493150684931505,6.8493150684931505,46.875
fiqa,idf_decile,D2,984,327,33.23170731707317,66.76829268292683,0.3048780487804878,0.3048780487804878,0.9174311926605505,0.3048780487804878,0.3048780487804878,0.9174311926605505,7.113821138211382,7.113821138211382,21.406727828746178,4.979674796747967,4.979674796747967,14.984709480122325,20.528455284552845,20.528455284552845,61.773700305810394,93,9.451219512195122,90.54878048780488,0.0,0.0,0.0,0.6097560975609756,0.6097560975609756,6.451612903225806,3.4552845528455287,3.4552845528455287,36.55913978494624,2.33739837398374,2.33739837398374,24.731182795698924,3.048780487804878,3.048780487804878,32.25806451612903
fiqa,idf_decile,D3,657,253,38.50837138508371,61.49162861491628,0.15220700152207,0.15220700152207,0.3952569169960474,0.30441400304414,0.30441400304414,0.7905138339920948,5.32724505327245,5.32724505327245,13.83399209486166,7.30593607305936,7.30593607305936,18.972332015810274,25.41856925418569,25.41856925418569,66.00790513833992,66,10.045662100456621,89.95433789954338,0.0,0.0,0.0,0.45662100456621,0.45662100456621,4.545454545454546,2.28310502283105,2.28310502283105,22.727272727272727,1.97869101978691,1.97869101978691,19.696969696969695,5.32724505327245,5.32724505327245,53.03030303030303
fiqa,idf_decile,D4,467,172,36.83083511777302,63.16916488222698,0.0,0.0,0.0,1.284796573875803,1.284796573875803,3.488372093023256,5.567451820128479,5.567451820128479,15.11627906976744,10.920770877944326,10.920770877944326,29.651162790697676,19.05781584582441,19.05781584582441,51.74418604651163,66,14.132762312633835,85.86723768736617,0.0,0.0,0.0,1.4989293361884368,1.4989293361884368,10.606060606060606,3.4261241970021414,3.4261241970021414,24.242424242424242,3.640256959314775,3.640256959314775,25.757575757575758,5.567451820128479,5.567451820128479,39.39393939393939
