dataset,num_docs,eligible_vocab_size,num_queries,baseline_ndcg10,baseline_r100,baseline_r1000,raw_ceiling_screened_best_w_ndcg10,raw_ceiling_screened_best_w_delta,raw_ceiling_screened_best_w_delta_ci95,raw_ceiling_mu010_ndcg10_exact,raw_ceiling_mu010_delta_exact,eligible_ceiling_screened_best_w_ndcg10,eligible_ceiling_screened_best_w_delta,eligible_ceiling_screened_best_w_delta_ci95,eligible_ceiling_mu010_ndcg10_exact,eligible_ceiling_mu010_delta_exact,eligible_ceiling_screened_best_w_r1000,eligible_ceiling_screened_best_w_delta_r1000,ranking_priority_joint_safe_ndcg10,ranking_priority_joint_safe_delta_ndcg10,ranking_priority_joint_safe_delta_ci95,ranking_priority_joint_safe_paired_delta_r1000,recall_priority_joint_safe_r1000,recall_priority_joint_safe_delta_r1000,recall_priority_joint_safe_delta_ci95,recall_priority_joint_safe_paired_delta_ndcg10,salience_10k_ndcg10_exact,salience_10k_delta_exact,specificity_10k_ndcg10_exact,specificity_10k_delta_exact,hybrid_10k_ndcg10_exact,hybrid_10k_delta_exact,stratified_10k_ndcg10_exact,stratified_10k_delta_exact,coverage_10k_ndcg10_exact,coverage_10k_delta_exact
fiqa,0,0,5,0.4786334161321323,0.7,0.9333333333333332,0.7306599032326749,0.25202648710054276,"[0.1231, 0.3464]",0.5932667183591954,0.11463330222706321,0.7306599032326749,0.25202648710054276,"[0.1231, 0.3464]",0.5932667183591954,0.11463330222706321,1.0,0.06666666666666668,0.7306599032326749,0.25202648710054276,"[0.1231, 0.3464]",0.06666666666666668,1.0,0.06666666666666668,"[0.0000, 0.2000]",0.05913614602811473,0.7306599032326749,0.25202648710054276,0.7306599032326749,0.25202648710054276,0.7306599032326749,0.25202648710054276,0.7306599032326749,0.25202648710054276,0.7306599032326749,0.25202648710054276
scidocs,0,0,5,0.11668373690876599,0.28,0.44000000000000006,0.45099572666989546,0.3343119897611295,"[0.2378, 0.4322]",0.15945082113644143,0.042767084227675445,0.45099572666989546,0.3343119897611295,"[0.2378, 0.4322]",0.15887210570738172,0.04218836879861575,0.76,0.31999999999999995,0.45099572666989546,0.3343119897611295,"[0.2378, 0.4322]",0.039999999999999994,0.76,0.31999999999999995,"[0.2400, 0.4000]",0.09955686025509276,0.45099572666989546,0.3343119897611295,0.45099572666989546,0.3343119897611295,0.45099572666989546,0.3343119897611295,0.45099572666989546,0.3343119897611295,0.44211449425035154,0.3254307573415856
arguana,0,0,5,0.46469316375755315,1.0,1.0,0.549799289564479,0.08510612580692582,"[0.0000, 0.2137]",0.5248991628903493,0.06020599913279624,0.549799289564479,0.08510612580692582,"[0.0000, 0.2137]",0.5248991628903493,0.06020599913279624,1.0,0.0,0.549799289564479,0.08510612580692582,"[0.0000, 0.2137]",0.0,1.0,0.0,"[0.0000, 0.0000]",0.0,0.549799289564479,0.08510612580692582,0.549799289564479,0.08510612580692582,0.549799289564479,0.08510612580692582,0.549799289564479,0.08510612580692582,0.549799289564479,0.08510612580692582
bright_stackoverflow,0,0,5,0.16166744355230184,0.6666666666666667,0.8333333333333333,0.24158192806920922,0.07991448451690739,"[0.0000, 0.1617]",0.16166744355230184,0.0,0.24158192806920922,0.07991448451690739,"[0.0000, 0.1617]",0.16166744355230184,0.0,0.95,0.11666666666666667,0.24158192806920922,0.07991448451690739,"[0.0000, 0.1617]",0.0,0.95,0.11666666666666667,"[0.0000, 0.2500]",0.030203923645561043,0.24158192806920922,0.07991448451690739,0.24158192806920922,0.07991448451690739,0.24158192806920922,0.07991448451690739,0.24158192806920922,0.07991448451690739,0.24158192806920922,0.07991448451690739
