dataset,evaluation_scope,num_queries,neither_useful_count,neither_useful_pct,df1_wins_count,df1_wins_pct,eligible_wins_df1_inactive_count,eligible_wins_df1_inactive_pct,useful_tie_count,useful_tie_pct,df1_useful_dominated_count,df1_useful_dominated_pct,mean_unique_df1_gain,num_queries_unique_df1_pos,pct_queries_unique_df1_pos
fiqa,exact_mu010,5,1,20.0,0,0.0,4,80.0,0,0.0,0,0.0,0.0,0,0.0
fiqa,screened_multi_weight,5,1,20.0,0,0.0,4,80.0,0,0.0,0,0.0,0.0,0,0.0
scidocs,exact_mu010,5,2,40.0,1,20.0,1,20.0,1,20.0,0,0.0,0.0005787154290597008,1,20.0
scidocs,screened_multi_weight,5,0,0.0,0,0.0,2,40.0,2,40.0,1,20.0,0.0,0,0.0
arguana,exact_mu010,5,4,80.0,0,0.0,1,20.0,0,0.0,0,0.0,0.0,0,0.0
arguana,screened_multi_weight,5,3,60.0,0,0.0,2,40.0,0,0.0,0,0.0,0.0,0,0.0
bright_stackoverflow,exact_mu010,5,5,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0,0.0
bright_stackoverflow,screened_multi_weight,5,3,60.0,0,0.0,2,40.0,0,0.0,0,0.0,0.0,0,0.0
