dataset,category,model_family,config_label,p,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,ndcg_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_qaug_len,avg_anchors,avg_synonyms,avg_r_anchor
beir_nfcorpus_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,"BM25 (Analyzed Lucene, kstem)","k1=1.2, b=0.75, kstem+wordnet",323,68.11,71.52,73.37,74.92,3.72,4.02,4.33,4.33,14.11,16.69,18.18,20.16,22.6,15.96,12.83,9.64,0.5171,0.3123,0.09,0.09,0.16,1.385,0.0,0.0,0.0,0.0,0.0
beir_nfcorpus_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",323,69.04,75.23,77.09,79.57,4.02,4.64,4.95,5.57,16.04,20.08,22.1,25.46,25.7,19.01,15.43,11.82,0.5296,0.3445,15.74,15.83,16.35,4.422,1.285,0.0,0.0,0.0,0.0
beir_nfcorpus_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert, inverted index",323,72.76,76.78,78.02,78.64,4.95,5.57,5.57,5.57,16.74,19.82,21.25,23.71,25.45,18.42,14.73,11.23,0.575,0.3571,4.63,4.8,5.16,17.721,11.462,0.0,0.0,0.0,0.0
beir_nfcorpus_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",323,69.97,74.61,75.54,78.02,4.02,4.33,4.64,4.64,14.9,18.23,19.79,22.2,23.59,17.14,13.67,10.38,0.5295,0.3249,6.57,6.27,8.63,5.712,0.37,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Baseline,BM25_Blank,bm25_blank,-,"BM25 (Standard Lucene, unstemmed)","k1=1.2, b=0.75, unstemmed",648,48.77,56.33,59.88,64.04,17.13,21.6,24.38,27.78,30.17,36.49,40.35,44.59,6.73,4.13,3.08,2.08,0.2953,0.2377,1.38,1.6,2.54,4.931,0.0,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,"BM25 (Analyzed Lucene, kstem)","k1=1.2, b=0.75, kstem+wordnet",648,48.15,57.72,62.19,65.9,17.9,23.46,25.77,28.86,30.89,38.45,42.17,46.21,6.9,4.4,3.23,2.16,0.3001,0.2463,0.79,0.8,1.16,10.814,0.0,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",648,67.44,74.23,76.08,79.78,29.01,36.42,38.27,42.9,46.57,54.3,57.02,62.17,11.11,6.64,4.76,3.14,0.4866,0.4032,81.57,81.82,84.55,28.811,1.285,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert, inverted index",648,60.8,67.13,70.99,76.39,24.54,30.4,33.18,37.65,40.52,47.42,51.14,56.53,9.21,5.52,3.99,2.66,0.42,0.3441,6.53,6.63,7.67,275.98,11.462,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",648,47.84,58.18,62.96,67.59,18.06,23.15,26.39,29.63,30.95,38.88,43.13,47.72,6.85,4.36,3.27,2.22,0.2987,0.244,11.29,11.23,12.8,18.806,0.389,0.0,0.0,0.0,0.0
bright_economics_doc_level,Baseline,BM25_Blank,bm25_blank,-,"BM25 (Standard Lucene, unstemmed)","k1=1.2, b=0.75, unstemmed",103,28.16,37.86,43.69,48.54,7.77,9.71,11.65,18.45,13.03,18.82,23.02,30.32,6.6,5.44,4.85,3.88,0.1297,0.1113,1.86,1.95,2.87,2.121,0.0,0.0,0.0,0.0,0.0
bright_economics_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,"BM25 (Analyzed Lucene, kstem)","k1=1.2, b=0.75, kstem+wordnet",103,23.3,33.01,38.83,45.63,7.77,8.74,9.71,11.65,10.89,15.5,18.47,25.01,5.34,4.76,4.34,3.71,0.1413,0.1103,1.18,1.27,2.07,4.426,0.0,0.0,0.0,0.0,0.0
bright_economics_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",103,37.86,46.6,51.46,57.28,9.71,12.62,17.48,25.24,16.74,25.03,30.84,38.82,7.38,6.6,5.6,4.31,0.1737,0.1451,73.24,73.63,74.91,14.562,1.285,0.0,0.0,0.0,0.0
bright_economics_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert, inverted index",103,31.07,38.83,45.63,54.37,8.74,14.56,18.45,22.33,15.06,23.05,28.11,34.96,7.38,5.73,4.95,3.92,0.1808,0.142,8.95,9.49,11.83,216.924,11.462,0.0,0.0,0.0,0.0
bright_economics_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",103,27.18,32.04,40.78,45.63,9.71,11.65,13.59,14.56,14.07,17.97,23.05,25.51,6.02,4.85,4.3,3.28,0.1327,0.1205,16.78,17.88,25.41,10.351,0.389,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Baseline,BM25_Blank,bm25_blank,-,"BM25 (Standard Lucene, unstemmed)","k1=1.2, b=0.75, unstemmed",117,35.9,39.32,46.15,51.28,8.55,11.11,15.38,17.95,17.65,23.06,27.96,32.69,5.73,4.27,3.5,2.7,0.1955,0.1513,4.65,4.73,7.03,10.109,0.0,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,"BM25 (Analyzed Lucene, kstem)","k1=1.2, b=0.75, kstem+wordnet",117,29.06,34.19,41.88,48.72,8.55,11.97,12.82,17.95,16.02,21.13,25.75,31.62,5.47,3.85,3.5,2.51,0.1813,0.1406,2.81,2.92,4.37,19.83,0.0,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",117,26.5,37.61,42.74,47.86,5.98,16.24,19.66,22.22,12.63,23.25,28.4,32.83,4.1,3.68,3.05,2.32,0.1024,0.0867,143.49,144.74,152.04,77.914,1.285,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert, inverted index",117,31.62,42.74,47.86,52.14,7.69,12.82,14.53,19.66,15.67,24.38,28.77,33.48,4.79,3.93,3.25,2.44,0.1498,0.1161,26.17,27.0,36.26,489.67,11.462,0.0,0.0,0.0,0.0
bright_stackoverflow_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",117,38.46,44.44,47.01,52.14,11.11,13.68,15.38,20.51,21.82,27.68,31.41,37.37,7.78,5.04,4.22,3.01,0.2112,0.1722,23.19,25.03,40.8,28.3,0.388,0.0,0.0,0.0,0.0
