dataset,partition_type,partition_bin,instance_count,ranking_safe_pct_w_0.05,ranking_safe_pct_w_0.1,ranking_safe_pct_w_0.3,ranking_safe_pct_w_0.5,ranking_safe_pct_w_1.0,ranking_safe_pct_no_safe,recall_safe_pct_w_0.05,recall_safe_pct_w_0.1,recall_safe_pct_w_0.3,recall_safe_pct_w_0.5,recall_safe_pct_w_1.0,recall_safe_pct_no_safe
scifact,df_band,DF=2-5,137,2.9197080291970803,1.4598540145985401,10.218978102189782,8.02919708029197,31.386861313868614,45.98540145985402,0.0,0.0,0.0,0.0,0.0,100.0
scifact,df_band,DF=6-20,321,2.1806853582554515,1.8691588785046727,9.034267912772584,5.607476635514018,26.479750778816197,54.82866043613706,2.1806853582554515,0.0,0.0,0.0,0.0,97.81931464174455
scifact,df_band,DF>20_rel>1%,2617,0.19105846388995032,1.2227741688956821,7.030951471150172,7.833397019487963,15.819640810087886,67.90217806648835,2.713030187237295,0.0,0.0,0.0,0.0,97.2869698127627
scifact,df_band,DF>20_rel_0.1-1%,399,0.2506265664160401,2.0050125313283207,10.275689223057643,7.268170426065162,17.794486215538846,62.40601503759399,3.007518796992481,0.0,0.0,0.0,0.0,96.99248120300751
scifact,idf_decile,D1,989,0.20222446916076847,0.40444893832153694,5.5611729019211324,9.201213346814964,14.964610717896864,69.66632962588474,2.3255813953488373,0.0,0.0,0.0,0.0,97.67441860465115
scifact,idf_decile,D10,170,2.3529411764705883,1.1764705882352942,10.0,7.647058823529412,31.76470588235294,47.05882352941176,0.0,0.0,0.0,0.0,0.0,100.0
scifact,idf_decile,D2,553,0.0,0.9041591320072333,6.871609403254973,7.59493670886076,13.924050632911392,70.70524412296564,1.9891500904159132,0.0,0.0,0.0,0.0,98.01084990958408
scifact,idf_decile,D3,370,0.2702702702702703,3.2432432432432434,8.64864864864865,7.027027027027027,15.405405405405407,65.4054054054054,3.5135135135135136,0.0,0.0,0.0,0.0,96.48648648648648
scifact,idf_decile,D4,308,0.0,1.948051948051948,7.467532467532467,5.194805194805195,21.1038961038961,64.28571428571429,3.571428571428571,0.0,0.0,0.0,0.0,96.42857142857143
scifact,idf_decile,D5,270,0.0,1.1111111111111112,9.62962962962963,8.148148148148149,17.037037037037038,64.07407407407408,3.7037037037037033,0.0,0.0,0.0,0.0,96.29629629629629
scifact,idf_decile,D6,233,1.2875536480686696,0.8583690987124464,11.158798283261802,4.291845493562231,15.450643776824036,66.95278969957081,2.1459227467811157,0.0,0.0,0.0,0.0,97.85407725321889
scifact,idf_decile,D7,210,0.0,2.380952380952381,8.571428571428571,10.0,16.666666666666664,62.38095238095238,2.857142857142857,0.0,0.0,0.0,0.0,97.14285714285714
scifact,idf_decile,D8,191,0.5235602094240838,3.1413612565445024,8.900523560209423,6.806282722513089,24.083769633507853,56.54450261780105,2.6178010471204187,0.0,0.0,0.0,0.0,97.38219895287958
scifact,idf_decile,D9,180,3.3333333333333335,1.6666666666666667,8.88888888888889,5.0,27.22222222222222,53.888888888888886,3.3333333333333335,0.0,0.0,0.0,0.0,96.66666666666667
bright_aops,df_band,DF=2-5,97,0.0,0.0,0.0,0.0,10.309278350515463,89.69072164948454,0.0,1.0309278350515463,3.0927835051546393,2.0618556701030926,14.432989690721648,79.38144329896907
bright_aops,df_band,DF=6-20,227,0.0,0.0,0.0,0.881057268722467,7.488986784140969,91.62995594713657,0.0,0.881057268722467,2.2026431718061676,1.3215859030837005,8.370044052863436,87.22466960352423
bright_aops,df_band,DF>20_rel<0.1%,870,0.0,0.0,0.0,0.22988505747126436,8.39080459770115,91.37931034482759,0.0,0.3448275862068966,3.793103448275862,1.839080459770115,8.96551724137931,85.0574712643678
