dataset,num_docs,eligible_vocab_size,num_queries,baseline_ndcg10,baseline_r100,baseline_r1000,raw_ceiling_screened_best_w_ndcg10,raw_ceiling_screened_best_w_delta,raw_ceiling_screened_best_w_delta_ci95,raw_ceiling_mu010_ndcg10_exact,raw_ceiling_mu010_delta_exact,eligible_ceiling_screened_best_w_ndcg10,eligible_ceiling_screened_best_w_delta,eligible_ceiling_screened_best_w_delta_ci95,eligible_ceiling_mu010_ndcg10_exact,eligible_ceiling_mu010_delta_exact,eligible_ceiling_screened_best_w_r1000,eligible_ceiling_screened_best_w_delta_r1000,ranking_priority_joint_safe_ndcg10,ranking_priority_joint_safe_delta_ndcg10,ranking_priority_joint_safe_delta_ci95,ranking_priority_joint_safe_paired_delta_r1000,recall_priority_joint_safe_r1000,recall_priority_joint_safe_delta_r1000,recall_priority_joint_safe_delta_ci95,recall_priority_joint_safe_paired_delta_ndcg10,salience_10k_ndcg10_exact,salience_10k_delta_exact,specificity_10k_ndcg10_exact,specificity_10k_delta_exact,hybrid_10k_ndcg10_exact,hybrid_10k_delta_exact,stratified_10k_ndcg10_exact,stratified_10k_delta_exact,coverage_10k_ndcg10_exact,coverage_10k_delta_exact
fiqa,57600,18796,50,0.22086662566247398,0.47564285714285715,0.7788333333333333,0.5804573742265593,0.35959074856408535,"[0.3050, 0.4156]",0.2595057592104761,0.0386391335480021,0.5804573742265593,0.35959074856408535,"[0.3050, 0.4156]",0.2595057592104761,0.0386391335480021,0.9546666666666667,0.17583333333333337,0.5804573742265593,0.35959074856408535,"[0.3050, 0.4156]",0.025333333333333336,0.9533333333333333,0.17450000000000002,"[0.1081, 0.2540]",0.04578187231103278,0.5573925318313172,0.3365259061688432,0.5587957852047616,0.3379291595422876,0.5578779888226635,0.33701136316018954,0.5633216729153799,0.342455047252906,0.5539141122993945,0.3330474866369206
scidocs,25657,18151,50,0.18546390514024766,0.371,0.593,0.44854634743578287,0.26308244229553523,"[0.2264, 0.3051]",0.21378171543210078,0.02831781029185314,0.44788604847408614,0.2624221433338385,"[0.2256, 0.3048]",0.2067412890820023,0.021277383941754602,0.868,0.275,0.44592526275745903,0.2604613576172114,"[0.2235, 0.3010]",0.051,0.8600000000000001,0.267,"[0.2160, 0.3180]",0.06807007795046777,0.4402721755619748,0.2548082704217271,0.4405209230891968,0.2550570179489492,0.4405209230891968,0.2550570179489492,0.43791921704944864,0.25245531190920095,0.4224713596965949,0.23700745455634725
arguana,8674,9841,50,0.34380192630659434,0.98,1.0,0.44167890743714766,0.09787698113055324,"[0.0627, 0.1365]",0.3597551741848724,0.015953247878278,0.44029243859861544,0.0964905122920211,"[0.0611, 0.1342]",0.35929769710937864,0.015495770802784222,1.0,0.0,0.44029243859861544,0.0964905122920211,"[0.0611, 0.1342]",0.0,1.0,0.0,"[0.0000, 0.0000]",0.0,0.44029243859861544,0.0964905122920211,0.44029243859861544,0.0964905122920211,0.44029243859861544,0.0964905122920211,0.44029243859861544,0.0964905122920211,0.44029243859861544,0.0964905122920211
bright_stackoverflow,107081,28373,50,0.11820621065849231,0.4164949494949494,0.6269595959595959,0.186927218963359,0.0687210083048667,"[0.0321, 0.1192]",0.1226049691237435,0.0043987584652512126,0.186927218963359,0.0687210083048667,"[0.0321, 0.1192]",0.12222386165370785,0.004017650995215563,0.6771616161616162,0.0502020202020202,0.186927218963359,0.0687210083048667,"[0.0321, 0.1192]",0.017424242424242425,0.6771616161616162,0.0502020202020202,"[0.0200, 0.0842]",0.009047831685378897,0.18179756088026588,0.06359135022177363,0.18569836800426923,0.06749215734577697,0.18569836800426923,0.06749215734577697,0.18179756088026588,0.06359135022177363,0.1780258219656426,0.05981961130715031
