Channel,Partition,Budget (L),TermRecall@L,TermPrecision@L,NearBestHit@L,ReferenceBOR@L,"RecallHit@L,1000"
WholeQueryBGE,Development (4 Corpora),200,4.5%,3.8%,35.1%,63.5%,88.9%
WholeQueryBGE,Extension (4 Corpora),200,8.3%,1.1%,32.9%,55.2%,84.1%
AnchorBGEFiltered,Development (4 Corpora),200,3.1%,3.4%,28.2%,54.0%,87.2%
AnchorBGEFiltered,Extension (4 Corpora),200,3.6%,0.7%,22.1%,37.1%,69.6%
AnchorBGEAll,Development (4 Corpora),200,3.3%,3.4%,31.3%,55.1%,89.7%
AnchorBGEAll,Extension (4 Corpora),200,4.2%,0.8%,22.9%,38.5%,73.9%
LexicalPPMI,Development (4 Corpora),200,10.5%,6.9%,50.4%,71.8%,87.2%
LexicalPPMI,Extension (4 Corpora),200,14.1%,2.2%,44.3%,61.7%,81.2%
