dataset,schema_type,label,display_name,params,role,Avg_Anchors,Avg_Cands_Tau,Avg_Synonyms,Starvation_Rate_pct,Avg_Qaug_Len,Avg_R_Anchor,Avg_Latency_ms,Strict@10,Strict@20,Strict@30,Strict@50,ChunkRec@10,ChunkRec@20,ChunkRec@30,ChunkRec@50,ChunkPrec@10,ChunkPrec@20,ChunkPrec@30,ChunkPrec@50,MRR@10,MRR@50,trace_file
enterpriserag_stress_1000,v5b,v5b_r4-5_c-1,"Schema 5b (-, 4, 5, -1)","(-, 4, 5, -1)","Heavy Entity Booster (R in [4, 5], C_exp in [3, 4])",11.73,339.0,43.69,0.0,103.3,4.74,81.58,81.8,85.4,88.0,90.4,59.0,67.3,72.0,75.9,16.1,10.3,7.6,5.0,0.5986,0.6028,trace_enterpriserag_stress_1000_v5b_r4-5_c-1.json
enterpriserag_stress_1000,v5b,v5b_r2-5_c-1,"Schema 5b (-, 2, 5, -1)","(-, 2, 5, -1)","Full Dynamic Contrast (R in [2, 5], C_exp in [1, 4])",11.73,339.0,35.3,0.0,86.1,4.03,74.77,81.0,84.6,88.0,90.6,58.5,66.8,71.4,76.0,15.8,10.2,7.5,5.0,0.5859,0.5907,trace_enterpriserag_stress_1000_v5b_r2-5_c-1.json
liverag_stress_full,v1,v1_baseline,"Schema 1 Baseline (3,3,3,-1)","(3, 3, 3, -1)","Primary Baseline Reference (R=3, C_exp=2)",5.59,158.57,11.03,1.7,31.1,3.0,37.91,93.1,95.0,96.2,97.2,78.9,83.2,85.4,87.4,18.4,9.9,6.8,4.2,0.7996,0.8018,trace_liverag_stress_full_v1_baseline.json
liverag_stress_full,v5a,v5a_n3_r2-5_c-1,"Schema 5a (3, 2, 5, -1)","(3, 2, 5, -1)","Fixed 3x Anchors, Dynamic Synonyms (1-4)",5.59,158.57,18.1,2.8,39.6,3.0,40.65,92.0,95.4,95.8,97.1,76.8,82.8,84.9,87.3,17.8,9.8,6.8,4.2,0.7582,0.761,trace_liverag_stress_full_v5a_n3_r2-5_c-1.json
liverag_stress_full,v5a,v5a_n3_r2-5_c0,"Schema 5a (3, 2, 5, 0)","(3, 2, 5, 0)","Fixed 3x Anchors, Dynamic Synonyms (2-5)",5.59,158.57,23.5,3.3,45.7,3.0,42.49,91.2,94.6,95.6,96.6,75.6,82.1,84.0,86.9,17.5,9.7,6.7,4.2,0.7398,0.7429,trace_liverag_stress_full_v5a_n3_r2-5_c0.json
liverag_stress_full,v5a,v5a_n4_r2-5_c-1,"Schema 5a (4, 2, 5, -1)","(4, 2, 5, -1)","Heavy Fixed 4x Anchors, Dynamic Synonyms (1-4)",5.59,158.57,18.1,2.8,45.2,4.0,41.85,92.8,95.4,96.3,97.1,78.5,83.7,85.8,87.3,18.3,9.9,6.8,4.2,0.8138,0.8162,trace_liverag_stress_full_v5a_n4_r2-5_c-1.json
liverag_stress_full,v5b,v5b_r2-4_c-1,"Schema 5b (-, 2, 4, -1)","(-, 2, 4, -1)","LiveRAG Champion (R in [2, 4], C_exp in [1, 3])",5.59,158.57,13.72,2.2,37.2,3.54,39.85,92.8,95.9,96.4,97.2,79.0,83.8,85.6,87.6,18.6,10.0,6.8,4.2,0.8172,0.8197,trace_liverag_stress_full_v5b_r2-4_c-1.json
liverag_stress_full,v5b,v5b_r3-5_c-1,"Schema 5b (-, 3, 5, -1)","(-, 3, 5, -1)","Safe High-Floor (R in [3, 5], C_exp in [2, 4])",5.59,158.57,19.15,2.8,49.2,4.54,43.05,93.3,95.8,96.5,97.1,79.6,84.0,85.8,87.5,18.7,10.0,6.8,4.2,0.8339,0.836,trace_liverag_stress_full_v5b_r3-5_c-1.json
liverag_stress_full,v5b,v5b_r4-5_c-1,"Schema 5b (-, 4, 5, -1)","(-, 4, 5, -1)","Heavy Entity Booster (R in [4, 5], C_exp in [3, 4])",5.59,158.57,21.38,2.9,54.0,4.92,44.23,93.2,95.3,96.2,97.0,79.1,83.7,85.4,87.5,18.5,10.0,6.8,4.2,0.8321,0.8342,trace_liverag_stress_full_v5b_r4-5_c-1.json
liverag_stress_full,v5b,v5b_r2-5_c-1,"Schema 5b (-, 2, 5, -1)","(-, 2, 5, -1)","Full Dynamic Contrast (R in [2, 5], C_exp in [1, 4])",5.59,158.57,18.1,2.8,46.9,4.36,42.38,93.0,95.4,96.3,97.1,79.3,84.1,85.9,87.6,18.6,10.0,6.9,4.2,0.8302,0.8326,trace_liverag_stress_full_v5b_r2-5_c-1.json
