config_id,strategy,pool_size,dataset,num_queries,strict_10,doc_rec_10,strict_50,doc_rec_50,mrr_10,tti_total_sec,tti_bm25_sec,tti_vocab_sec,tti_matrix_sec,lat_total_mean_ms,lat_total_p50_ms,lat_total_p95_ms,lat_anchor_analyze_ms,lat_anchor_pos_ms,lat_anchor_bge_ms,lat_anchor_total_ms,lat_probing_ms,lat_itmpe_ms,lat_bm25_ms,in_pool_hit_rate_pct,avg_anchors,avg_synonym_links,avg_unique_synonyms,avg_final_qvec_len
idf__N_500,idf,500,multihop_rag_doc_level,2556,99.29,85.25,99.82,97.96,0.8157,2.93,1.76,0.02,1.14,7.18,7.09,8.65,0.08,0.758,3.168,4.006,0.11,0.5,2.51,51.74,27.61,5230.87,475.42,503.02
idf__N_500,idf,500,financebench_doc_level,150,54.67,52.44,74.67,71.67,0.3293,1.54,0.99,0.01,0.55,5.83,5.68,7.5,0.051,0.447,2.218,2.716,0.11,0.36,2.58,58.01,16.58,4693.97,487.31,503.77
idf__N_500,idf,500,bright_economics_doc_level,103,24.27,12.58,46.6,25.47,0.1176,7.65,4.78,0.07,2.8,7.26,6.85,11.3,0.184,1.669,1.128,2.98,0.11,0.81,3.29,96.41,55.19,11475.46,486.78,541.96
idf__N_500,idf,500,bright_stackoverflow_doc_level,117,39.32,21.2,51.28,36.48,0.1955,26.41,21.92,0.13,4.37,11.34,10.42,17.49,0.25,2.875,2.646,5.771,0.12,0.93,4.42,83.36,67.49,16572.42,488.99,556.47
idf__N_500,idf,500,bright_robotics_doc_level,101,21.78,12.1,46.53,27.45,0.096,6.8,3.75,0.1,2.95,12.14,8.86,31.4,0.361,4.376,2.453,7.189,0.12,1.17,3.54,91.32,86.98,18672.83,495.7,582.68
idf__N_1000,idf,1000,enterpriserag_doc_level,500,93.83,92.05,98.94,98.32,0.8697,3.75,2.37,0.03,1.34,9.55,9.41,11.49,0.061,0.576,3.001,3.637,0.11,0.76,4.98,42.75,21.91,11296.76,986.11,1008.0
idf__N_1000,idf,1000,liverag_doc_level,895,97.65,97.26,98.88,98.72,0.9368,3.58,1.94,0.03,1.6,7.16,7.26,8.71,0.037,0.308,2.036,2.381,0.11,0.47,4.14,56.69,11.31,4081.25,843.82,855.11
idf__N_1000,idf,1000,beir_scifact_doc_level,300,80.67,78.96,87.0,86.42,0.6264,3.28,1.95,0.03,1.31,6.73,6.85,7.93,0.032,0.269,1.324,1.625,0.11,0.42,4.53,76.58,9.13,4221.22,927.06,936.18
idf__N_1000,idf,1000,beir_nfcorpus_doc_level,323,69.04,14.18,76.47,21.01,0.518,2.42,1.35,0.02,1.06,3.87,3.91,6.23,0.015,0.108,0.536,0.659,0.1,0.23,2.84,83.35,2.76,1137.63,581.15,583.91
idf__N_1000,idf,1000,beir_fiqa_doc_level,648,46.76,29.91,66.98,47.3,0.2949,14.24,11.75,0.06,2.43,6.77,6.94,8.34,0.027,0.196,1.292,1.515,0.11,0.4,4.69,77.39,7.7,3298.69,821.31,829.02
idf__N_1000,idf,1000,multihop_rag_doc_level,2556,99.29,85.26,99.82,97.96,0.8163,2.97,1.79,0.02,1.16,9.73,9.66,11.35,0.08,0.758,3.157,3.995,0.11,0.88,4.68,51.74,27.61,10281.84,948.03,975.62
idf__N_1000,idf,1000,financebench_doc_level,150,54.67,52.44,74.67,71.67,0.3298,1.55,0.98,0.01,0.56,8.4,8.22,10.38,0.051,0.446,2.261,2.758,0.12,0.64,4.82,58.01,16.58,8754.35,958.21,974.53
idf__N_1000,idf,1000,bright_economics_doc_level,103,24.27,12.58,46.6,25.45,0.1176,7.81,4.82,0.08,2.91,10.02,9.49,14.29,0.181,1.639,1.128,2.947,0.12,1.48,5.4,96.41,55.19,22325.17,968.61,1023.8
idf__N_1000,idf,1000,bright_stackoverflow_doc_level,117,39.32,21.2,51.28,36.48,0.1996,26.39,21.88,0.12,4.39,14.85,13.78,22.95,0.261,2.951,2.756,5.969,0.13,1.83,6.82,83.36,67.49,30953.05,967.47,1034.95
idf__N_1000,idf,1000,bright_robotics_doc_level,101,21.78,12.1,46.53,27.45,0.096,6.69,3.63,0.09,2.96,15.41,11.99,36.51,0.359,4.308,2.466,7.133,0.13,2.22,5.82,91.32,86.98,37747.46,992.02,1079.0
idf__N_2500,idf,2500,enterpriserag_doc_level,500,93.83,92.05,98.94,98.32,0.8702,3.68,2.32,0.03,1.34,17.64,17.52,20.25,0.061,0.574,3.129,3.765,0.12,1.74,11.93,42.75,21.91,29014.13,2467.78,2489.64
idf__N_2500,idf,2500,liverag_doc_level,895,97.65,97.26,98.88,98.72,0.9374,3.63,1.89,0.03,1.71,13.23,13.48,15.85,0.035,0.301,2.074,2.411,0.11,1.04,9.59,56.69,11.31,10141.18,2111.26,2122.54
idf__N_2500,idf,2500,beir_scifact_doc_level,300,81.0,79.29,87.0,86.42,0.6267,3.36,1.98,0.02,1.36,13.8,14.0,15.74,0.033,0.279,1.429,1.741,0.11,0.98,10.9,76.58,9.13,10339.12,2302.8,2311.88
idf__N_2500,idf,2500,beir_nfcorpus_doc_level,323,68.73,14.11,76.16,20.85,0.5192,2.44,1.35,0.02,1.08,8.38,8.86,13.27,0.015,0.111,0.593,0.718,0.1,0.45,7.05,83.35,2.76,2909.87,1477.88,1480.63
idf__N_2500,idf,2500,beir_fiqa_doc_level,648,46.76,29.91,66.98,47.3,0.2949,14.25,11.79,0.06,2.41,12.62,12.79,14.94,0.027,0.198,1.326,1.551,0.11,0.87,10.03,77.39,7.7,8234.99,2057.44,2065.15
idf__N_2500,idf,2500,multihop_rag_doc_level,2556,99.29,85.28,99.82,97.98,0.8157,3.01,1.75,0.02,1.24,17.63,17.53,19.98,0.081,0.774,3.34,4.195,0.13,2.03,11.19,51.74,27.61,25863.9,2366.06,2393.64
idf__N_2500,idf,2500,financebench_doc_level,150,54.67,52.44,74.67,71.67,0.3286,1.53,0.97,0.01,0.55,16.04,15.82,18.72,0.05,0.442,2.363,2.856,0.12,1.45,11.53,58.01,16.58,22078.96,2389.0,2405.28
idf__N_2500,idf,2500,bright_economics_doc_level,103,24.27,12.58,46.6,25.45,0.1176,7.76,4.81,0.07,2.88,18.92,18.23,25.22,0.181,1.671,1.186,3.038,0.13,3.53,12.12,96.41,55.19,57268.43,2426.53,2481.72
idf__N_2500,idf,2500,bright_stackoverflow_doc_level,117,39.32,21.2,51.28,36.48,0.1959,26.58,22.09,0.13,4.37,24.16,22.9,35.39,0.25,2.908,2.775,5.933,0.15,4.34,13.6,83.36,67.49,81220.26,2442.88,2510.35
idf__N_2500,idf,2500,bright_robotics_doc_level,101,21.78,12.1,46.53,27.45,0.096,6.74,3.66,0.09,2.99,26.06,21.35,54.28,0.365,4.403,2.561,7.33,0.16,5.4,13.04,91.32,86.98,92732.21,2478.96,2565.94
