stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage4,v7_frozen_candidate_B,multihop_rag_doc_level,Edge-RAG,v7,"V7 Candidate B (dtau=+0.10, mu=0.50, eps=0.010)","dtau=0.10, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.010, N=2500",248,98.92,99.46,99.46,100.0,63.44,84.95,89.78,95.7,84.5,94.04,95.74,98.43,21.56,12.18,8.28,5.12,0.8294,23.86,24.19,28.27,0.0,0.0,27.85,71.72,0.03
stage4,v7_frozen_candidate_C,multihop_rag_doc_level,Edge-RAG,v7,"V7 Candidate C (dtau=0.00, mu=0.50, eps=0.005)","dtau=0.00, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",248,98.92,99.46,99.46,100.0,62.9,84.95,90.32,95.7,84.23,93.91,96.01,98.43,21.51,12.15,8.3,5.12,0.8286,29.83,30.11,36.41,0.0,0.0,27.85,8.04,0.0
stage4,v7_frozen_candidate_A,financebench_doc_level,Edge-RAG,v7,"V7 Candidate A (dtau=+0.05, mu=0.50, eps=0.005)","dtau=0.05, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",150,54.0,62.67,70.0,74.67,49.33,57.33,63.33,68.0,51.44,59.78,66.44,71.33,6.27,3.67,2.69,1.76,0.3156,25.6,27.12,38.21,0.0,0.0,16.58,31.29,0.0
stage4,v7_frozen_candidate_B,financebench_doc_level,Edge-RAG,v7,"V7 Candidate B (dtau=+0.10, mu=0.50, eps=0.010)","dtau=0.10, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.010, N=2500",150,54.0,62.67,70.0,74.67,49.33,57.33,63.33,67.33,51.44,59.78,66.44,71.0,6.27,3.67,2.69,1.75,0.3109,23.35,24.05,31.75,0.0,0.0,16.58,79.91,0.0
stage4,v7_frozen_candidate_C,financebench_doc_level,Edge-RAG,v7,"V7 Candidate C (dtau=0.00, mu=0.50, eps=0.005)","dtau=0.00, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",150,54.0,62.67,70.0,74.67,49.33,57.33,63.33,68.0,51.44,59.78,66.44,71.33,6.27,3.67,2.69,1.76,0.3122,30.91,33.6,50.43,0.0,0.0,16.58,0.0,0.0
stage4,v7_frozen_candidate_A,bright_economics_doc_level,Edge-RAG,v7,"V7 Candidate A (dtau=+0.05, mu=0.50, eps=0.005)","dtau=0.05, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",103,20.39,28.16,30.1,40.78,8.74,12.62,12.62,14.56,11.84,16.75,18.53,24.1,3.4,2.96,2.59,2.23,0.0602,40.07,43.14,69.29,0.0,0.0,55.19,492.89,0.0
stage4,v7_frozen_candidate_B,bright_economics_doc_level,Edge-RAG,v7,"V7 Candidate B (dtau=+0.10, mu=0.50, eps=0.010)","dtau=0.10, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.010, N=2500",103,20.39,28.16,31.07,40.78,8.74,12.62,12.62,14.56,11.76,16.75,19.01,24.2,3.3,2.96,2.62,2.23,0.0599,36.59,39.22,54.45,0.0,0.0,55.19,301.68,0.14
stage4,v7_frozen_candidate_C,bright_economics_doc_level,Edge-RAG,v7,"V7 Candidate C (dtau=0.00, mu=0.50, eps=0.005)","dtau=0.00, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",103,20.39,28.16,30.1,40.78,8.74,12.62,12.62,14.56,11.84,16.63,17.96,24.1,3.4,2.91,2.49,2.23,0.0599,45.92,48.82,77.27,0.0,0.0,55.19,35.58,0.0
stage4,v7_frozen_candidate_A,bright_stackoverflow_doc_level,Edge-RAG,v7,"V7 Candidate A (dtau=+0.05, mu=0.50, eps=0.005)","dtau=0.05, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",117,19.66,27.35,30.77,38.46,5.13,10.26,11.97,17.95,10.12,17.26,20.45,27.79,3.25,2.82,2.36,2.1,0.081,59.05,64.59,104.57,0.0,0.0,67.49,556.56,0.0
stage4,v7_frozen_candidate_B,bright_stackoverflow_doc_level,Edge-RAG,v7,"V7 Candidate B (dtau=+0.10, mu=0.50, eps=0.010)","dtau=0.10, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.010, N=2500",117,19.66,27.35,30.77,39.32,5.13,11.11,12.82,18.8,9.9,17.92,21.01,28.47,3.33,2.95,2.45,2.17,0.0859,51.04,54.88,87.67,0.0,0.0,67.49,236.72,0.09
stage4,v7_frozen_candidate_C,bright_stackoverflow_doc_level,Edge-RAG,v7,"V7 Candidate C (dtau=0.00, mu=0.50, eps=0.005)","dtau=0.00, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",117,19.66,27.35,30.77,38.46,5.13,10.26,11.97,17.95,10.12,17.26,20.45,27.74,3.25,2.82,2.36,2.09,0.0824,69.04,78.18,144.85,0.0,0.0,67.49,12.32,0.0
stage4,v7_frozen_candidate_A,bright_robotics_doc_level,Edge-RAG,v7,"V7 Candidate A (dtau=+0.05, mu=0.50, eps=0.005)","dtau=0.05, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",101,15.84,23.76,29.7,37.62,7.92,8.91,13.86,16.83,9.84,12.66,18.93,23.62,1.58,1.44,1.65,1.45,0.0444,67.67,85.34,178.73,0.0,0.0,86.98,932.39,0.0
stage4,v7_frozen_candidate_B,bright_robotics_doc_level,Edge-RAG,v7,"V7 Candidate B (dtau=+0.10, mu=0.50, eps=0.010)","dtau=0.10, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.010, N=2500",101,15.84,23.76,29.7,37.62,7.92,8.91,14.85,16.83,9.84,12.93,19.64,23.62,1.58,1.49,1.75,1.45,0.0465,60.63,72.9,154.19,0.0,0.0,86.98,470.98,0.06
stage4,v7_frozen_candidate_C,bright_robotics_doc_level,Edge-RAG,v7,"V7 Candidate C (dtau=0.00, mu=0.50, eps=0.005)","dtau=0.00, beta=1.0, mu_ceil=0.50, eta=0.0, eps=0.005, N=2500",101,14.85,23.76,29.7,37.62,7.92,8.91,13.86,16.83,9.35,12.66,18.93,23.79,1.49,1.44,1.65,1.47,0.0433,82.96,106.45,244.5,0.0,0.0,86.98,7.54,0.0
