dataset,model,model_family,num_docs,queries_count,setup_time_s,peak_rss_mb,peak_vram_gb,latency_mean_ms,latency_p50_ms,latency_p95_ms,strict_10,doc_recall_10,strict_50,doc_recall_50,mrr_10,ndcg_10
beir_arguana,"BM25 (Analyzed Lucene, kstem)",bm25_analyzed,8674,1406,2.44478046400036,885.77734375,0.0,2.911643985775672,2.736310500040417,4.854088001593482,75.39118065433856,75.39118065433856,94.02560455192034,94.02560455192034,0.2387215222741538,0.3624881850644726
beir_arguana,Edge-RAG V7 (GPU-Sparse Bailout),v7,8674,1406,6.139502188991173,2055.3984375,0.3644957542419433,38.10882536134024,37.21809549824684,48.737931247160304,66.50071123755335,66.50071123755335,88.05120910384068,88.05120910384068,0.2036196911196911,0.3139129347240503
beir_scidocs,"BM25 (Analyzed Lucene, kstem)",bm25_analyzed,25657,1000,9.00794536999456,952.59375,0.0,0.6739497649905388,0.6649824972555507,0.9411700037162516,49.0,16.065,68.0,28.29666666666667,0.2744936507936508,0.1553586399350224
beir_scidocs,Edge-RAG V7 (GPU-Sparse Bailout),v7,25657,1000,5.1099599419976585,2101.1484375,0.3879332542419433,31.64465424294758,31.22973800418549,35.62957565118268,49.0,16.175000000000004,68.5,28.591666666666672,0.2790321428571428,0.1574349719481157
beir_trec_covid,"BM25 (Analyzed Lucene, kstem)",bm25_analyzed,171331,50,48.26781265700265,1100.33984375,0.0,2.7618686394998804,2.570640997873852,4.16341419913806,96.0,1.474420198043784,100.0,5.576995263417088,0.8306666666666668,0.5378697184130491
beir_trec_covid,Edge-RAG V7 (GPU-Sparse Bailout),v7,171331,50,5.63235312699544,2226.765625,0.3879332542419433,73.63769486008096,73.18012749965419,83.42755710182246,100.0,1.4623390501160367,100.0,5.762570428005717,0.8326666666666668,0.5419494862630996
beir_webis_touche2020,"BM25 (Analyzed Lucene, kstem)",bm25_analyzed,382545,49,171.35855727099988,1382.4296875,0.0,4.171373264992382,4.083447995071765,5.896586398012003,93.87755102040816,20.985190897540235,97.95918367346938,45.43621229987816,0.6466553287981859,0.3468143273463958
beir_webis_touche2020,Edge-RAG V7 (GPU-Sparse Bailout),v7,382545,49,6.266945775008935,2396.31640625,0.3791179656982422,113.5724232651172,115.29380600404691,133.6381422035629,95.91836734693877,21.56269143656944,100.0,46.27116523060726,0.7094914156138646,0.3723529911045771
beir_quora,"BM25 (Analyzed Lucene, kstem)",bm25_analyzed,522931,10000,11.97585115700349,971.78125,0.0,5.248680010176758,5.3754929977003485,7.0084465533000175,92.82,88.32485268815131,97.63,95.31082660530204,0.7796621428571429,0.7862033908089872
beir_quora,Edge-RAG V7 (GPU-Sparse Bailout),v7,522931,10000,4.705173308997473,2161.359375,0.3835387229919433,156.3918116708308,156.64248849861906,173.26644349923296,92.35,87.95296570062568,97.31,95.00675650788628,0.7721098412698412,0.7798930007331144
beir_dbpedia_entity,"BM25 (Analyzed Lucene, kstem)",bm25_analyzed,4635922,400,455.7890535830011,2867.49609375,0.0,45.304977847536065,43.21274399990216,68.85552504681979,79.5,19.46979216243999,90.5,37.65903593354814,0.569655753968254,0.28500753248782895
beir_dbpedia_entity,Edge-RAG V7 (GPU-Sparse Bailout),v7,4635922,400,17.24585447100253,3819.77734375,0.36559486389160156,6013.508955934849,6319.8558449985285,7554.658082352034,79.5,19.037333520263985,90.75,37.30924132689529,0.5740704365079365,0.27926393283201567
beir_climate_fever,"BM25 (Analyzed Lucene, kstem)",bm25_analyzed,5416593,1535,864.8878768400027,3503.4453125,0.0,84.8885108312982,80.76671400340274,139.33193170305455,34.72312703583062,16.30076004343105,55.30944625407166,29.507057546145493,0.18019414714854456,0.1303171327159507
beir_climate_fever,Edge-RAG V7 (GPU-Sparse Bailout),v7,5416593,1535,18.3371060999998,4616.6484375,0.3682284355163574,8112.07503348321,9246.75763399864,10878.678085794672,37.32899022801303,17.885993485342016,60.52117263843648,32.23127035830619,0.19597176981541797,0.1429465969368297
beir_nq,"BM25 (Analyzed Lucene, kstem)",bm25_analyzed,2681468,3452,391.643974421997,2059.30859375,0.0,27.62829808825584,27.00836599979084,38.28268510260386,47.50869061413673,43.95036693704133,69.64078794901506,66.48078408651989,0.24332857418749654,0.2815200476149077
beir_nq,Edge-RAG V7 (GPU-Sparse Bailout),v7,2681468,3452,8.52738736999163,3234.28515625,0.3598361015319824,1191.289769668238,1195.5906305011013,1263.3962108491687,47.56662804171495,44.143491695635376,69.09038238702202,66.10901892622634,0.24345789880262653,0.2818065323157611
beir_hotpotqa,"BM25 (Analyzed Lucene, kstem)",bm25_analyzed,5233329,7405,480.8560010600049,2909.10546875,0.0,79.2289173143748,74.58879200567026,125.78765960934103,87.84604996623902,60.79000675219446,94.58474004051317,72.19446320054017,0.7442333579842019,0.5788411270596423
