Channel,Budget (L),Corpus-Macro TermRecall@L,Corpus-Macro TermPrecision@L,Corpus-Macro NearBestHit@L,Corpus-Macro ReferenceBOR@L,Corpus-Macro RecallHit@1000,Corpus-Macro RawDocOppRecall@1000,Corpus-Macro SafeDocOppRecall@1000
LivePPMI,200,19.8%,7.0%,49.4%,63.0%,87.5%,64.2%,61.4%
PPMISidecar,200,19.0%,6.6%,44.4%,60.7%,91.7%,63.9%,61.0%
