Channel,Budget (L),Corpus-Macro TermRecall@L,Corpus-Macro TermPrecision@L,Corpus-Macro NearBestHit@L,Corpus-Macro ReferenceBOR@L,Corpus-Macro RecallHit@1000,Corpus-Macro RawDocOppRecall@1000,Corpus-Macro SafeDocOppRecall@1000
LivePPMI,200,8.4%,3.1%,50.0%,50.0%,100.0%,68.4%,86.9%
PPMISidecar,200,8.4%,3.1%,50.0%,50.0%,100.0%,68.4%,86.9%
