dataset,policy,capacity_type,requested_capacity,effective_capacity_terms,actual_pct_eligible_vocab,oracle_ndcg10,delta_ndcg10,oracle_r1000,delta_r1000,pct_retained_vs_eligible,recall_safe_query_rate,ranking_safe_query_rate
scifact,stratified,percentage,0.2,1119,20.0,0.8650755491038359,0.22066633964185628,1.0,0.02,84.05200462950508,0.02,0.18
scifact,stratified,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2500,44.68275245755138,0.8835706265956107,0.23916141713363107,1.0,0.02,91.09679606205775,0.02,0.26
scifact,coverage,fixed,1000,1000,17.873100983020553,0.8274292214913185,0.18302001202933893,1.0,0.02,69.71248502761752,0.02,0.18
scifact,coverage,fixed,2500,2500,44.68275245755138,0.8694458854846715,0.2250366760226919,1.0,0.02,85.71666963600619,0.02,0.22
scifact,coverage,fixed,5000,5000,89.36550491510276,0.8854416702689432,0.24103246080696367,1.0,0.02,91.80947825793865,0.02,0.24
scifact,coverage,fixed,10000,10000,178.73100983020552,0.9043261013364442,0.2599168918744646,1.0,0.02,99.00257481306943,0.02,0.3
scifact,coverage,fixed,15000,15000,268.0965147453083,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
scifact,coverage,fixed,20000,20000,357.46201966041104,0.9069446964078732,0.26253548694589374,1.0,0.02,100.0,0.02,0.3
scifact,coverage,percentage,0.02,111,2.0,0.7512143253907365,0.10680511592875684,1.0,0.02,40.68216345578015,0.02,0.1
scifact,coverage,percentage,0.05,279,5.0,0.7670046037003106,0.12259539423833107,1.0,0.02,46.696694479096045,0.02,0.14
scifact,coverage,percentage,0.1,559,10.0,0.7783022606784313,0.13389305121645173,1.0,0.02,50.99998204968227,0.02,0.14
scifact,coverage,percentage,0.15,839,15.0,0.8260427526527863,0.1816335431908068,1.0,0.02,69.18437781641302,0.02,0.16
scifact,coverage,percentage,0.2,1119,20.0,0.8274292214913185,0.18302001202933893,1.0,0.02,69.71248502761752,0.02,0.18
scifact,coverage,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,2500,44.68275245755138,0.8694458854846715,0.2250366760226919,1.0,0.02,85.71666963600619,0.02,0.22
bright_aops,salience,fixed,1000,1000,2.9712384121701922,0.08830269841042522,0.051075825331159716,0.5803571428571428,0.12142857142857143,58.54819057434355,0.02,0.02
bright_aops,salience,fixed,2500,2500,7.428096030425481,0.10210130782279427,0.06487443474352877,0.6070238095238095,0.14809523809523809,74.36552897853474,0.02,0.02
bright_aops,salience,fixed,5000,5000,14.856192060850962,0.11362667229793182,0.07639979921866633,0.6145238095238095,0.1555952380952381,87.57704795750375,0.04,0.02
bright_aops,salience,fixed,10000,10000,29.712384121701923,0.12231918856017655,0.08509231548091106,0.6178571428571429,0.15892857142857145,97.54127458316736,0.04,0.02
bright_aops,salience,fixed,15000,15000,44.56857618255289,0.12231918856017655,0.08509231548091106,0.6178571428571429,0.15892857142857145,97.54127458316736,0.04,0.02
bright_aops,salience,fixed,20000,20000,59.42476824340385,0.12446411274477566,0.08723723966551017,0.6178571428571429,0.15892857142857145,100.0,0.04,0.02
bright_aops,salience,percentage,0.02,673,2.0,0.08007370786994017,0.042846834790674686,0.5686904761904762,0.10976190476190474,49.11530322940109,0.02,0.02
bright_aops,salience,percentage,0.05,1682,5.0,0.08918610654579012,0.051959233466524625,0.5970238095238095,0.13809523809523808,59.56084083557616,0.02,0.02
bright_aops,salience,percentage,0.1,3365,10.0,0.10729810280519436,0.07007122972592887,0.6070238095238095,0.14809523809523809,80.322612217672,0.04,0.02
bright_aops,salience,percentage,0.15,5048,15.0,0.11362667229793182,0.07639979921866633,0.6145238095238095,0.1555952380952381,87.57704795750375,0.04,0.02
bright_aops,salience,percentage,0.2,6731,20.0,0.11869046596707557,0.08146359288781008,0.6145238095238095,0.1555952380952381,93.38167186417438,0.04,0.02
bright_aops,salience,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,5048,14.998811504635132,0.11362667229793182,0.07639979921866633,0.6145238095238095,0.1555952380952381,87.57704795750375,0.04,0.02
bright_aops,specificity,fixed,1000,1000,2.9712384121701922,0.08849116187452301,0.051264288795257545,0.5528571428571428,0.09392857142857142,58.764226139912154,0.0,0.02
bright_aops,specificity,fixed,2500,2500,7.428096030425481,0.10547273106491893,0.06824585798565347,0.5945238095238095,0.13559523809523807,78.23018959257021,0.04,0.02
bright_aops,specificity,fixed,5000,5000,14.856192060850962,0.11383479569458073,0.07660792261531527,0.6128571428571429,0.15392857142857144,87.81561969297698,0.04,0.02
bright_aops,specificity,fixed,10000,10000,29.712384121701923,0.12231918856017655,0.08509231548091106,0.6178571428571429,0.15892857142857145,97.54127458316736,0.04,0.02
bright_aops,specificity,fixed,15000,15000,44.56857618255289,0.12446411274477566,0.08723723966551017,0.6178571428571429,0.15892857142857145,100.0,0.04,0.02
bright_aops,specificity,fixed,20000,20000,59.42476824340385,0.12446411274477566,0.08723723966551017,0.6178571428571429,0.15892857142857145,100.0,0.04,0.02
bright_aops,specificity,percentage,0.02,673,2.0,0.08179703860454592,0.044570165525280404,0.5478571428571428,0.08892857142857143,51.09075630564859,0.0,0.02
bright_aops,specificity,percentage,0.05,1682,5.0,0.09457369222679915,0.05734681914753368,0.5945238095238095,0.13559523809523807,65.7366273479262,0.02,0.02
bright_aops,specificity,percentage,0.1,3365,10.0,0.10805811986400268,0.07083124678473722,0.6095238095238095,0.1505952380952381,81.19381935549805,0.04,0.02
bright_aops,specificity,percentage,0.15,5048,15.0,0.11383479569458073,0.07660792261531527,0.6128571428571429,0.15392857142857144,87.81561969297698,0.04,0.02
bright_aops,specificity,percentage,0.2,6731,20.0,0.11662790907374632,0.07940103599448084,0.6178571428571429,0.15892857142857145,91.0173640281658,0.04,0.02
bright_aops,specificity,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,5048,14.998811504635132,0.11383479569458073,0.07660792261531527,0.6128571428571429,0.15392857142857144,87.81561969297698,0.04,0.02
bright_aops,hybrid,fixed,1000,1000,2.9712384121701922,0.0844035139227533,0.047176640843487834,0.5528571428571428,0.09392857142857142,54.07855753388703,0.0,0.02
bright_aops,hybrid,fixed,2500,2500,7.428096030425481,0.10547273106491893,0.06824585798565347,0.5945238095238095,0.13559523809523807,78.23018959257021,0.04,0.02
bright_aops,hybrid,fixed,5000,5000,14.856192060850962,0.11383479569458073,0.07660792261531527,0.6128571428571429,0.15392857142857144,87.81561969297698,0.04,0.02
bright_aops,hybrid,fixed,10000,10000,29.712384121701923,0.12231918856017655,0.08509231548091106,0.6178571428571429,0.15892857142857145,97.54127458316736,0.04,0.02
bright_aops,hybrid,fixed,15000,15000,44.56857618255289,0.12446411274477566,0.08723723966551017,0.6178571428571429,0.15892857142857145,100.0,0.04,0.02
bright_aops,hybrid,fixed,20000,20000,59.42476824340385,0.12446411274477566,0.08723723966551017,0.6178571428571429,0.15892857142857145,100.0,0.04,0.02
bright_aops,hybrid,percentage,0.02,673,2.0,0.08179703860454592,0.044570165525280404,0.5478571428571428,0.08892857142857143,51.09075630564859,0.0,0.02
bright_aops,hybrid,percentage,0.05,1682,5.0,0.09457369222679915,0.05734681914753368,0.5745238095238094,0.1155952380952381,65.7366273479262,0.02,0.02
bright_aops,hybrid,percentage,0.1,3365,10.0,0.10805811986400268,0.07083124678473722,0.6095238095238095,0.1505952380952381,81.19381935549805,0.04,0.02
bright_aops,hybrid,percentage,0.15,5048,15.0,0.11383479569458073,0.07660792261531527,0.6128571428571429,0.15392857142857144,87.81561969297698,0.04,0.02
bright_aops,hybrid,percentage,0.2,6731,20.0,0.11662790907374632,0.07940103599448084,0.6178571428571429,0.15892857142857145,91.0173640281658,0.04,0.02
bright_aops,hybrid,adaptive_rule_15pct,adaptive_15pct_2.5k_10k,5048,14.998811504635132,0.11383479569458073,0.07660792261531527,0.6128571428571429,0.15392857142857144,87.81561969297698,0.04,0.02
bright_aops,stratified,fixed,1000,1000,2.9712384121701922,0.08052114690811553,0.043294273828850045,0.5828571428571429,0.12392857142857143,49.62820235354917,0.02,0.02
bright_aops,stratified,fixed,2500,2500,7.428096030425481,0.0923860832860071,0.05515921020674162,0.5995238095238095,0.1405952380952381,63.22897241847186,0.02,0.02
bright_aops,stratified,fixed,5000,5000,14.856192060850962,0.10756035398624622,0.07033348090698074,0.6095238095238095,0.1505952380952381,80.62323060273027,0.02,0.02
bright_aops,stratified,fixed,10000,10000,29.712384121701923,0.12129694128528298,0.08407006820601749,0.6178571428571429,0.15892857142857145,96.3694730924128,0.04,0.02
bright_aops,stratified,fixed,15000,15000,44.56857618255289,0.12231918856017655,0.08509231548091106,0.6178571428571429,0.15892857142857145,97.54127458316736,0.04,0.02
bright_aops,stratified,fixed,20000,20000,59.42476824340385,0.12446411274477566,0.08723723966551017,0.6178571428571429,0.15892857142857145,100.0,0.04,0.02
bright_aops,stratified,percentage,0.02,673,2.0,0.07993830782700938,0.04271143474774389,0.5828571428571429,0.12392857142857143,48.96009423442377,0.0,0.02
bright_aops,stratified,percentage,0.05,1682,5.0,0.08865337832350148,0.051426505244236,0.5995238095238095,0.1405952380952381,58.95017476643958,0.02,0.02
bright_aops,stratified,percentage,0.1,3365,10.0,0.09536658906790003,0.05813971598863455,0.6095238095238095,0.1505952380952381,66.64552456216755,0.02,0.02
bright_aops,stratified,percentage,0.15,5048,15.0,0.10756035398624622,0.07033348090698074,0.6095238095238095,0.1505952380952381,80.62323060273027,0.02,0.02
bright_aops,stratified,percentage,0.2,6731,20.0,0.11639414391257524,0.07916727083330978,0.6128571428571429,0.15392857142857144,90.74939915207919,0.04,0.02
