dataset,partition_type,partition_bin,instance_count,ranking_safe_instance_count,ranking_safe_pct_has_safe,ranking_safe_pct_no_safe,ranking_safe_unconditional_pct_w_0.05,ranking_safe_pct_w_0.05,ranking_safe_conditional_pct_w_0.05,ranking_safe_unconditional_pct_w_0.1,ranking_safe_pct_w_0.1,ranking_safe_conditional_pct_w_0.1,ranking_safe_unconditional_pct_w_0.3,ranking_safe_pct_w_0.3,ranking_safe_conditional_pct_w_0.3,ranking_safe_unconditional_pct_w_0.5,ranking_safe_pct_w_0.5,ranking_safe_conditional_pct_w_0.5,ranking_safe_unconditional_pct_w_1.0,ranking_safe_pct_w_1.0,ranking_safe_conditional_pct_w_1.0,recall_safe_instance_count,recall_safe_pct_has_safe,recall_safe_pct_no_safe,recall_safe_unconditional_pct_w_0.05,recall_safe_pct_w_0.05,recall_safe_conditional_pct_w_0.05,recall_safe_unconditional_pct_w_0.1,recall_safe_pct_w_0.1,recall_safe_conditional_pct_w_0.1,recall_safe_unconditional_pct_w_0.3,recall_safe_pct_w_0.3,recall_safe_conditional_pct_w_0.3,recall_safe_unconditional_pct_w_0.5,recall_safe_pct_w_0.5,recall_safe_conditional_pct_w_0.5,recall_safe_unconditional_pct_w_1.0,recall_safe_pct_w_1.0,recall_safe_conditional_pct_w_1.0
scifact,df_band,DF=2-5,137,74,54.01459854014598,45.98540145985402,2.9197080291970803,2.9197080291970803,5.405405405405405,1.4598540145985401,1.4598540145985401,2.7027027027027026,10.218978102189782,10.218978102189782,18.91891891891892,8.02919708029197,8.02919708029197,14.864864864864865,31.386861313868614,31.386861313868614,58.108108108108105,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact,df_band,DF=6-20,321,145,45.17133956386293,54.82866043613706,2.1806853582554515,2.1806853582554515,4.827586206896552,1.8691588785046727,1.8691588785046727,4.137931034482759,9.034267912772584,9.034267912772584,20.0,5.607476635514018,5.607476635514018,12.413793103448276,26.479750778816197,26.479750778816197,58.620689655172406,7,2.1806853582554515,97.81931464174455,2.1806853582554515,2.1806853582554515,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact,df_band,DF>20_rel>1%,2617,840,32.09782193351165,67.90217806648835,0.19105846388995032,0.19105846388995032,0.5952380952380952,1.2227741688956821,1.2227741688956821,3.8095238095238098,7.030951471150172,7.030951471150172,21.904761904761905,7.833397019487963,7.833397019487963,24.404761904761905,15.819640810087886,15.819640810087886,49.28571428571429,71,2.713030187237295,97.2869698127627,2.713030187237295,2.713030187237295,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact,df_band,DF>20_rel_0.1-1%,399,150,37.59398496240601,62.40601503759399,0.2506265664160401,0.2506265664160401,0.6666666666666667,2.0050125313283207,2.0050125313283207,5.333333333333334,10.275689223057643,10.275689223057643,27.333333333333332,7.268170426065162,7.268170426065162,19.333333333333332,17.794486215538846,17.794486215538846,47.333333333333336,12,3.007518796992481,96.99248120300751,3.007518796992481,3.007518796992481,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact,idf_decile,D1,989,300,30.33367037411527,69.66632962588474,0.20222446916076847,0.20222446916076847,0.6666666666666667,0.40444893832153694,0.40444893832153694,1.3333333333333335,5.5611729019211324,5.5611729019211324,18.333333333333332,9.201213346814964,9.201213346814964,30.333333333333336,14.964610717896864,14.964610717896864,49.333333333333336,23,2.3255813953488373,97.67441860465115,2.3255813953488373,2.3255813953488373,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact,idf_decile,D10,170,90,52.94117647058824,47.05882352941176,2.3529411764705883,2.3529411764705883,4.444444444444445,1.1764705882352942,1.1764705882352942,2.2222222222222223,10.0,10.0,18.88888888888889,7.647058823529412,7.647058823529412,14.444444444444443,31.76470588235294,31.76470588235294,60.0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact,idf_decile,D2,553,162,29.294755877034355,70.70524412296564,0.0,0.0,0.0,0.9041591320072333,0.9041591320072333,3.0864197530864197,6.871609403254973,6.871609403254973,23.456790123456788,7.59493670886076,7.59493670886076,25.925925925925924,13.924050632911392,13.924050632911392,47.53086419753087,11,1.9891500904159132,98.01084990958408,1.9891500904159132,1.9891500904159132,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact,idf_decile,D3,370,128,34.5945945945946,65.4054054054054,0.2702702702702703,0.2702702702702703,0.78125,3.2432432432432434,3.2432432432432434,9.375,8.64864864864865,8.64864864864865,25.0,7.027027027027027,7.027027027027027,20.3125,15.405405405405407,15.405405405405407,44.53125,13,3.5135135135135136,96.48648648648648,3.5135135135135136,3.5135135135135136,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact,idf_decile,D4,308,110,35.714285714285715,64.28571428571429,0.0,0.0,0.0,1.948051948051948,1.948051948051948,5.454545454545454,7.467532467532467,7.467532467532467,20.909090909090907,5.194805194805195,5.194805194805195,14.545454545454545,21.1038961038961,21.1038961038961,59.09090909090909,11,3.571428571428571,96.42857142857143,3.571428571428571,3.571428571428571,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scifact,idf_decile,D5,270,97,35.92592592592593,64.07407407407408,0.0,0.0,0.0,1.1111111111111112,1.1111111111111112,3.0927835051546393,9.62962962962963,9.62962962962963,26.804123711340207,8.148148148148149,8.148148148148149,22.68041237113402,17.037037037037038,17.037037037037038,47.42268041237113,10,3.7037037037037033,96.29629629629629,3.7037037037037033,3.7037037037037033,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
