stage,config_id,dataset,category,model_family,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_anchors,avg_synonyms,starved_aspects_mean
stage3,budget_eta_-0.5__mu_0.50,liverag_doc_level,Edge-RAG,v7,Budget eta=-0.5 (mu=0.50),"eta=-0.5, mu_ceil=0.50",895,97.88,98.32,98.66,98.88,96.98,97.99,98.32,98.66,97.43,98.16,98.49,98.77,11.22,5.66,3.79,2.28,0.9292,34.63,34.69,44.6,0.0,0.0,11.31,5184.41,0.0
stage3,budget_eta_+0.0__mu_0.50,liverag_doc_level,Edge-RAG,v7,Budget eta=+0.0 (mu=0.50),"eta=0.0, mu_ceil=0.50",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9303,34.1,34.21,44.03,0.0,0.0,11.31,5184.41,0.0
stage3,budget_eta_+0.5__mu_0.50,liverag_doc_level,Edge-RAG,v7,Budget eta=+0.5 (mu=0.50),"eta=0.5, mu_ceil=0.50",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9298,33.99,34.08,43.77,0.0,0.0,11.31,5184.41,0.0
stage3,budget_mu_0.25__eta_0.0,liverag_doc_level,Edge-RAG,v7,Budget mu_ceil=0.25,"mu_ceil=0.25, eta=0.0",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9298,33.89,34.12,44.1,0.0,0.0,11.31,5184.41,0.0
stage3,budget_mu_0.50__eta_0.0,liverag_doc_level,Edge-RAG,v7,Budget mu_ceil=0.50,"mu_ceil=0.5, eta=0.0",895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9303,34.22,34.62,44.08,0.0,0.0,11.31,5184.41,0.0
stage3,budget_mu_0.75__eta_0.0,liverag_doc_level,Edge-RAG,v7,Budget mu_ceil=0.75,"mu_ceil=0.75, eta=0.0",895,97.88,98.32,98.66,98.88,96.98,97.99,98.32,98.66,97.43,98.16,98.49,98.77,11.22,5.66,3.79,2.28,0.9292,34.59,34.67,44.37,0.0,0.0,11.31,5184.41,0.0
stage3,budget_mu_1.00__eta_0.0,liverag_doc_level,Edge-RAG,v7,Budget mu_ceil=1.00,"mu_ceil=1.0, eta=0.0",895,97.88,98.44,98.66,98.88,96.98,98.1,98.32,98.66,97.43,98.27,98.49,98.77,11.22,5.66,3.79,2.28,0.9291,34.59,34.61,44.41,0.0,0.0,11.31,5184.41,0.0
stage3,sparsity_eps_0.000,liverag_doc_level,Edge-RAG,v7,Mass Floor eps=0.000,mass_floor=0.0,895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9303,34.23,34.37,44.75,0.0,0.0,11.31,5184.41,0.0
stage3,sparsity_eps_0.001,liverag_doc_level,Edge-RAG,v7,Mass Floor eps=0.001,mass_floor=0.001,895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9298,24.23,24.33,30.55,0.0,0.0,11.31,677.19,0.0
stage3,sparsity_eps_0.005,liverag_doc_level,Edge-RAG,v7,Mass Floor eps=0.005,mass_floor=0.005,895,97.88,98.32,98.66,98.88,97.09,97.99,98.32,98.66,97.49,98.16,98.49,98.77,11.23,5.66,3.79,2.28,0.9298,20.64,20.71,25.23,0.0,0.0,11.31,3.53,0.0
