dataset,category,model_family,config_label,p,display_name,params,num_queries,strict_10,strict_20,strict_30,strict_50,complete_10,complete_20,complete_30,complete_50,doc_rec_10,doc_rec_20,doc_rec_30,doc_rec_50,prec_10,prec_20,prec_30,prec_50,mrr_10,ndcg_10,latency_p50_ms,latency_mean_ms,latency_p95_ms,tti_s,vram_gb,avg_qaug_len,avg_anchors,avg_synonyms,avg_r_anchor
beir_nfcorpus_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,BM25 (Analyzed Baseline),"k1=1.2, b=0.75, kstem+wordnet",323,68.11,71.52,73.37,74.92,3.72,4.02,4.33,4.33,14.11,16.69,18.18,20.16,22.6,15.94,12.83,9.64,0.5171,0.3093,0.08,0.08,0.14,1.283,0.0,0.0,0.0,0.0,0.0
beir_nfcorpus_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",323,69.35,75.23,77.09,79.57,4.02,4.64,4.95,5.57,16.2,20.04,22.15,25.48,25.76,19.01,15.44,11.8,0.5298,0.3431,14.52,14.56,14.94,4.177,1.285,0.0,0.0,0.0,0.0
beir_nfcorpus_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",323,72.76,76.78,78.02,78.64,4.95,5.57,5.57,5.57,16.74,19.82,21.25,23.71,25.45,18.42,14.73,11.23,0.5755,0.3539,7.34,7.7,7.77,30.521,4.042,0.0,0.0,0.0,0.0
beir_nfcorpus_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",323,69.97,74.61,75.54,78.02,4.02,4.33,4.64,4.64,14.94,18.23,19.8,22.14,23.62,17.14,13.68,10.37,0.5274,0.3221,6.09,5.89,8.09,5.452,0.37,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Baseline,BM25_Blank,bm25_blank,-,BM25 (Blank Baseline),"k1=1.2, b=0.75, whitespace",500,33.4,42.0,46.0,51.8,11.2,14.6,16.0,20.4,20.37,25.7,28.47,33.85,4.3,2.78,2.13,1.52,0.198,0.1587,1.23,1.45,2.32,5.212,0.0,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,BM25 (Analyzed Baseline),"k1=1.2, b=0.75, kstem+wordnet",500,47.4,56.4,60.4,64.0,17.8,23.4,25.4,28.8,30.34,37.78,41.11,45.28,6.54,4.19,3.08,2.07,0.2847,0.2366,0.76,0.78,1.16,10.061,0.0,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",500,66.4,73.2,75.8,79.8,27.8,35.6,37.8,42.4,45.51,53.42,56.65,62.05,10.58,6.34,4.6,3.06,0.4669,0.3888,75.35,75.68,78.46,26.916,1.285,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",500,60.2,66.2,70.6,76.0,24.0,30.2,33.0,38.0,39.82,46.9,50.85,56.45,8.74,5.28,3.83,2.59,0.4049,0.3348,63.95,64.08,64.99,263.588,4.264,0.0,0.0,0.0,0.0
beir_fiqa_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",500,46.6,57.2,61.6,66.4,17.4,23.2,25.8,29.6,29.88,38.07,42.08,47.05,6.36,4.14,3.1,2.14,0.2828,0.2322,10.33,10.26,11.71,16.989,0.389,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Baseline,BM25_Blank,bm25_blank,-,BM25 (Blank Baseline),"k1=1.2, b=0.75, whitespace",248,72.58,73.39,73.39,73.79,40.32,52.02,57.66,64.11,57.63,64.28,67.14,69.96,14.68,8.29,5.79,3.64,0.5369,0.477,0.26,0.27,0.35,0.608,0.0,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,BM25 (Analyzed Baseline),"k1=1.2, b=0.75, kstem+wordnet",248,74.19,75.0,75.4,75.81,49.19,65.73,70.16,72.98,63.88,71.24,73.52,74.83,16.29,9.19,6.33,3.85,0.6191,0.554,0.29,0.29,0.41,1.451,0.0,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",248,73.39,74.6,74.6,75.0,33.06,45.97,51.61,60.89,55.78,63.44,66.23,70.06,14.19,8.15,5.69,3.6,0.5344,0.4711,11.52,11.69,11.93,1.188,1.223,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",248,74.19,74.6,75.4,75.4,36.69,54.03,61.69,67.34,58.6,66.53,70.13,72.38,14.96,8.61,6.03,3.74,0.5465,0.4868,6.31,6.91,7.07,6.449,4.031,0.0,0.0,0.0,0.0
multihop_rag_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",248,74.19,75.0,75.4,75.4,48.79,64.52,68.55,72.18,63.84,71.07,72.75,74.29,16.29,9.17,6.25,3.84,0.6327,0.5614,10.99,11.31,12.57,5.919,0.37,0.0,0.0,0.0,0.0
financebench_doc_level,Baseline,BM25_Blank,bm25_blank,-,BM25 (Blank Baseline),"k1=1.2, b=0.75, whitespace",150,32.67,38.67,41.33,49.33,31.33,36.0,39.33,46.67,32.0,37.33,40.33,47.89,3.87,2.27,1.62,1.15,0.2002,0.2281,0.22,0.22,0.36,0.464,0.0,0.0,0.0,0.0,0.0
financebench_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,BM25 (Analyzed Baseline),"k1=1.2, b=0.75, kstem+wordnet",150,50.67,60.0,64.0,72.67,44.0,53.33,57.33,64.0,47.44,56.67,60.67,68.22,5.6,3.4,2.47,1.68,0.3092,0.3427,0.2,0.21,0.35,0.959,0.0,0.0,0.0,0.0,0.0
financebench_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",150,75.33,84.0,86.67,89.33,68.67,76.0,79.33,81.33,72.0,79.89,82.89,85.22,8.8,4.9,3.4,2.09,0.5177,0.555,13.0,13.24,13.64,3.17,1.285,0.0,0.0,0.0,0.0
financebench_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",150,78.67,84.0,86.67,90.0,67.33,74.0,76.67,81.33,72.78,78.78,81.67,85.67,8.93,4.8,3.33,2.09,0.5268,0.5551,7.02,7.88,8.05,21.865,4.047,0.0,0.0,0.0,0.0
financebench_doc_level,Pipeline_V2,v7_current,v7_current,1.0,Edge-RAG V7 (GPU-Sparse Bailout),"p=1.0, tau=0.55, mu=0.50, bail_tau=0.80",150,56.0,63.33,69.33,74.0,50.67,58.0,63.33,68.0,53.11,60.44,66.11,71.0,6.47,3.7,2.69,1.76,0.3348,0.3744,9.16,9.64,11.25,4.517,0.362,0.0,0.0,0.0,0.0
bright_economics_doc_level,Baseline,BM25_Blank,bm25_blank,-,BM25 (Blank Baseline),"k1=1.2, b=0.75, whitespace",103,24.27,29.13,34.95,36.89,2.91,6.8,8.74,8.74,7.34,12.97,16.2,19.66,4.85,4.17,3.53,3.03,0.1045,0.0704,1.61,1.64,2.48,2.194,0.0,0.0,0.0,0.0,0.0
bright_economics_doc_level,Baseline,BM25_Analyzed,bm25_analyzed,-,BM25 (Analyzed Baseline),"k1=1.2, b=0.75, kstem+wordnet",103,23.3,33.01,38.83,45.63,7.77,8.74,9.71,11.65,10.89,15.5,18.47,25.01,5.34,4.76,4.34,3.71,0.1413,0.1103,1.08,1.14,1.83,4.221,0.0,0.0,0.0,0.0,0.0
bright_economics_doc_level,Baseline,Dense_BGE_Small,dense_bge_small,-,Dense (bge-small-en-v1.5),"dim=384, cosine, fp16",103,35.92,46.6,51.46,57.28,9.71,12.62,17.48,25.24,15.98,24.94,30.87,38.82,7.09,6.55,5.63,4.31,0.1717,0.1417,67.39,67.7,68.42,13.438,1.285,0.0,0.0,0.0,0.0
bright_economics_doc_level,Baseline,SPLADE_v3,splade_v3,-,SPLADE-v3 (DistilBERT),"sparse neural, distilbert",103,31.07,39.81,46.6,53.4,8.74,15.53,18.45,22.33,15.14,24.08,28.96,34.44,7.48,5.87,5.02,3.84,0.1791,0.143,42.69,43.78,48.92,147.591,4.083,0.0,0.0,0.0,0.0
