Dataset,Partition,Queries,Baseline nDCG@10,Baseline R@1000,Ceiling Delta-nDCG@10,Ceiling Net Rel Docs,Materially Addressable % (g* >= 0.005),Recall Addressable % (r* >= 1)
bright_aops,Dev,10,0.0592,0.3643,"+0.0720 [0.0118, 0.1352]",+0.90,40.0%,80.0%
nfcorpus,Dev,10,0.2855,0.3212,"+0.4136 [0.2376, 0.6128]",+8.40,80.0%,80.0%
scifact,Dev,10,0.6526,1.0000,"+0.3025 [0.1025, 0.5287]",+0.00,50.0%,0.0%
trec_covid,Dev,10,0.5724,0.3692,"+0.2971 [0.2146, 0.3820]",+31.20,100.0%,100.0%
Corpus-Macro Dev (4 Corpora),Macro,40,0.3924,0.5137,+0.2713,+10.12,67.5%,65.0%
