dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
scidocs,DPH_LLM_Q2E_ZS,0.1444,0.1444,0.209,0.0974,0.2501,0.0761,0.017,0.479,0.1543,0.2792,0.3455,0.4114,0.4988,0.5659,0.043,0.113,0.159,0.768,0.935,0.6584,713.68,803.44,943.46,708.88,43.17,726.4,25657,1000,69.01,5936.72,2.45,0.0,0.1909,0.685
bright_economics,DPH_LLM_Q2E_ZS,0.1608,0.1608,0.2281,0.1204,0.2064,0.0777,0.0286,0.3592,0.1589,0.3541,0.4575,0.5409,0.6572,0.7488,0.2621,0.4466,0.5243,0.6602,0.9029,0.8149,948.78,1208.25,1280.71,976.76,22.77,1040.79,50220,103,168.75,5788.34,4.24,0.0,0.2025,0.5728
bright_psychology,DPH_LLM_Q2E_ZS,0.1993,0.1993,0.2509,0.1578,0.2436,0.0851,0.0185,0.396,0.2386,0.3774,0.4515,0.5226,0.6282,0.7371,0.3168,0.4455,0.5347,0.6436,0.8911,0.8101,972.34,1237.65,1298.36,1000.03,22.66,1063.37,52835,101,191.01,5783.54,4.67,0.0,0.2328,0.5842
bright_biology,DPH_LLM_Q2E_ZS,0.2723,0.2723,0.3496,0.2287,0.3797,0.0903,0.0192,0.5146,0.2822,0.4524,0.5428,0.6375,0.7481,0.7819,0.2913,0.5437,0.5825,0.7573,0.9029,0.8148,893.32,1134.18,1268.54,922.96,26.6,976.96,57359,103,75.34,5774.24,4.51,0.0,0.3276,0.6699
fiqa,DPH_LLM_Q2E_ZS,0.2428,0.2428,0.3083,0.1979,0.2998,0.067,0.0132,0.4815,0.3044,0.4776,0.5564,0.6244,0.7031,0.7658,0.3704,0.5201,0.5849,0.7562,0.9012,0.8016,762.3,909.39,948.38,769.31,39.75,792.05,57638,648,83.96,5824.38,4.62,0.0,0.2918,0.6852
bright_sustainable_living,DPH_LLM_Q2E_ZS,0.1687,0.1687,0.2472,0.1395,0.207,0.0667,0.0185,0.4167,0.2126,0.396,0.4867,0.5869,0.7099,0.7965,0.3148,0.5278,0.6111,0.7407,0.9167,0.8518,968.73,1153.92,1293.81,983.36,22.7,1047.25,60792,108,193.46,5784.46,3.83,0.0,0.2248,0.6296
bright_robotics,DPH_LLM_Q2E_ZS,0.1518,0.1518,0.2274,0.1172,0.1771,0.0624,0.0195,0.3762,0.2168,0.3859,0.4809,0.5663,0.6684,0.763,0.3168,0.4851,0.5644,0.6634,0.8812,0.8141,1013.44,1344.94,1753.77,1083.8,21.23,1158.18,61961,101,74.28,5820.66,4.88,0.0,0.205,0.5941
bright_stackoverflow,DPH_LLM_Q2E_ZS,0.1645,0.1645,0.2273,0.134,0.1853,0.0667,0.0179,0.3504,0.2178,0.3667,0.4446,0.5364,0.6093,0.6575,0.3248,0.4444,0.5043,0.5897,0.7778,0.6934,982.24,1205.42,1558.29,1061.2,18.1,1124.02,107081,117,147.42,5783.58,8.21,0.0,0.2096,0.4872
bright_earth_science,DPH_LLM_Q2E_ZS,0.3706,0.3706,0.4416,0.305,0.5003,0.1457,0.0272,0.6897,0.3997,0.5638,0.6326,0.6875,0.7504,0.7831,0.4052,0.5259,0.5776,0.8707,0.931,0.8349,913.24,1152.92,1254.72,938.5,23.36,991.6,121249,116,174.82,5778.23,9.54,0.0,0.4238,0.8276
trec_covid,DPH_LLM_Q2E_ZS,0.6711,0.6455,0.4949,0.0842,0.8807,0.724,0.5276,1.0,0.0183,0.0712,0.1199,0.1907,0.3203,0.4292,0.0,0.0,0.0,1.0,1.0,1.0,822.43,1016.24,1197.13,836.99,29.42,891.38,171332,50,287.0,5771.53,19.29,0.0,0.5563,1.0
bright_aops,DPH_LLM_Q2E_ZS,0.054,0.054,0.0972,0.0377,0.1072,0.0315,0.0096,0.1982,0.0556,0.1422,0.1905,0.2518,0.3319,0.386,0.018,0.0811,0.1261,0.4505,0.6486,0.4489,1004.99,1309.5,1368.62,1050.46,9.37,1173.2,188002,111,165.73,5795.05,14.8,0.0,0.0844,0.3964
bright_theoremqa_questions,DPH_LLM_Q2E_ZS,0.0668,0.0668,0.0865,0.0584,0.0696,0.0149,0.0031,0.1082,0.0874,0.1286,0.1771,0.2311,0.3098,0.3792,0.1392,0.232,0.299,0.232,0.4742,0.4005,972.4,1135.64,1381.33,992.27,9.65,1079.63,188002,194,165.73,5824.06,14.8,0.0,0.0772,0.1649
webis_touche2020,DPH_LLM_Q2E_ZS,0.4241,0.42,0.503,0.2648,0.6912,0.3776,0.0941,0.9592,0.2425,0.4653,0.5491,0.66,0.7623,0.8344,0.0204,0.2041,0.3061,0.9796,0.9796,0.9723,757.53,875.51,963.18,742.42,30.0,794.77,382545,49,685.06,5807.07,54.6,0.0,0.4667,0.9796
bright_leetcode,DPH_LLM_Q2E_ZS,0.2399,0.2399,0.278,0.2065,0.291,0.0556,0.0085,0.3944,0.2749,0.3827,0.4362,0.5502,0.7001,0.8115,0.3028,0.5915,0.7183,0.5775,0.8944,0.8313,1079.75,1302.89,1448.32,1094.13,6.85,1227.83,413932,142,577.59,5837.77,35.12,0.0,0.2679,0.507
quora,DPH_LLM_Q2E_ZS,0.4121,0.4121,0.4623,0.3716,0.3871,0.0707,0.011,0.5862,0.5411,0.7042,0.7585,0.8058,0.8566,0.8915,0.7206,0.8268,0.8659,0.7948,0.9109,0.8969,766.26,907.66,977.72,770.97,72.41,792.6,522931,10000,212.62,6188.63,10.5,0.0,0.4523,0.7449
nq,DPH_LLM_Q2E_ZS,0.3079,0.3079,0.3715,0.2592,0.2642,0.0566,0.0093,0.5156,0.4812,0.6956,0.7692,0.8178,0.8767,0.9112,0.7462,0.8627,0.8983,0.7929,0.9232,0.914,757.98,920.99,1175.52,774.72,22.74,790.45,2681468,3452,2304.87,6006.72,98.21,0.0,0.3587,0.7251
dbpedia_entity,DPH_LLM_Q2E_ZS,0.3082,0.2899,0.3626,0.2094,0.5626,0.2743,0.0935,0.81,0.1974,0.3745,0.463,0.5311,0.6131,0.6639,0.1075,0.1775,0.2125,0.925,0.97,0.8358,626.74,760.17,923.33,622.46,8.38,747.59,4635922,400,4041.0,5742.91,248.5,0.0,0.3333,0.89
hotpotqa,DPH_LLM_Q2E_ZS,0.6136,0.6136,0.6501,0.5284,0.7786,0.1292,0.0158,0.9053,0.6462,0.7519,0.788,0.8206,0.8558,0.8803,0.6085,0.724,0.7687,0.9676,0.9919,0.9055,784.96,911.77,1208.16,805.5,15.93,826.81,5233329,7405,4178.75,5699.07,291.67,0.0,0.6428,0.9554
climate_fever,DPH_LLM_Q2E_ZS,0.1752,0.1752,0.2359,0.1303,0.2336,0.057,0.0122,0.4586,0.225,0.3692,0.4396,0.5012,0.5937,0.6533,0.1759,0.3029,0.3746,0.7446,0.8951,0.713,803.96,955.44,1118.9,820.0,10.44,865.77,5416593,1535,5555.75,4831.36,367.65,0.0,0.2198,0.6632
fever,DPH_LLM_Q2E_ZS,0.6698,0.6698,0.6934,0.6193,0.6456,0.0892,0.0103,0.8498,0.8101,0.8923,0.9111,0.9284,0.9436,0.9545,0.8788,0.916,0.9295,0.9448,0.9785,0.9601,671.58,788.38,866.89,663.8,19.12,698.14,5416568,6666,5555.71,4566.25,371.88,0.0,0.69,0.9283
