dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
bright_robotics,LLM_Q2E_ZS,0.1004,0.1004,0.171,0.0781,0.1234,0.0416,0.0154,0.2871,0.1468,0.3029,0.4012,0.4554,0.5913,0.7058,0.2772,0.4059,0.5149,0.5941,0.8515,0.7662,1014.23,1344.55,1758.9,1082.78,0.91,2213.62,61961,101,74.28,3791.71,4.88,0.0,0.1481,0.4851
bright_stackoverflow,LLM_Q2E_ZS,0.1496,0.1496,0.2236,0.1267,0.1719,0.059,0.018,0.3162,0.1971,0.3737,0.4607,0.5392,0.6271,0.6741,0.3248,0.4786,0.5299,0.5983,0.7863,0.7085,980.33,1203.29,1553.06,1058.15,0.94,2135.07,107081,117,147.42,3689.91,8.21,0.0,0.2042,0.5128
bright_earth_science,LLM_Q2E_ZS,0.1237,0.1237,0.2,0.0998,0.157,0.0612,0.0177,0.3362,0.1581,0.3482,0.4081,0.5136,0.6148,0.6816,0.2328,0.3966,0.4569,0.6379,0.8793,0.7481,912.05,1150.26,1252.24,936.76,1.06,1891.17,121249,116,174.82,3678.0,9.54,0.0,0.1838,0.6034
trec_covid,LLM_Q2E_ZS,0.6602,0.6358,0.5066,0.0902,0.9062,0.706,0.5434,1.0,0.0179,0.0728,0.1271,0.2077,0.3534,0.4673,0.0,0.0,0.0,1.0,1.0,0.998,821.33,1016.33,1195.04,835.66,1.18,1702.19,171332,50,287.0,3656.3,19.29,0.0,0.5594,1.0
bright_aops,LLM_Q2E_ZS,0.0618,0.0618,0.1037,0.0433,0.1293,0.0306,0.0097,0.2072,0.059,0.1358,0.1903,0.2508,0.345,0.4197,0.018,0.1171,0.1802,0.4505,0.6847,0.4831,1005.9,1309.2,1368.86,1051.14,0.92,2156.87,188002,111,165.73,3640.9,14.8,0.0,0.0893,0.3423
bright_theoremqa_questions,LLM_Q2E_ZS,0.0769,0.0769,0.0954,0.0686,0.0837,0.0165,0.0032,0.1186,0.093,0.1351,0.1789,0.2304,0.3012,0.402,0.134,0.2371,0.3247,0.2474,0.4845,0.4212,970.35,1133.31,1375.93,988.63,1.5,1640.89,188002,194,165.73,3514.86,14.8,0.0,0.0869,0.1804
webis_touche2020,LLM_Q2E_ZS,0.3347,0.3306,0.4456,0.2212,0.5352,0.3143,0.0902,0.8776,0.2129,0.4428,0.5436,0.6619,0.7674,0.8513,0.0816,0.2041,0.3469,0.9796,0.9796,0.9722,756.73,874.28,958.19,740.87,1.32,1514.2,382545,49,685.06,3467.12,54.6,0.0,0.4054,0.9796
bright_leetcode,LLM_Q2E_ZS,0.2415,0.2415,0.2761,0.2017,0.2858,0.0599,0.0087,0.4085,0.2892,0.3581,0.452,0.513,0.6799,0.7887,0.3028,0.5493,0.6972,0.6056,0.8803,0.8099,1074.76,1299.18,1443.9,1090.55,0.89,2197.57,413932,142,577.59,3484.46,35.12,0.0,0.2593,0.4859
quora,LLM_Q2E_ZS,0.7431,0.7431,0.7708,0.7015,0.7299,0.1147,0.0142,0.8918,0.85,0.9389,0.9592,0.9729,0.9841,0.9898,0.9354,0.9713,0.9813,0.976,0.9943,0.9913,765.4,906.87,978.11,770.22,1.29,1555.99,522931,10000,212.62,3849.35,10.5,0.0,0.7666,0.962
nq,LLM_Q2E_ZS,0.309,0.309,0.3731,0.2619,0.2698,0.0561,0.0092,0.513,0.4764,0.6966,0.765,0.8227,0.8808,0.9118,0.7399,0.8662,0.8995,0.7908,0.9238,0.9146,754.74,915.74,1165.62,772.55,1.28,1525.18,2681468,3452,2304.87,3432.75,98.21,0.0,0.3615,0.7251
dbpedia_entity,LLM_Q2E_ZS,0.3043,0.2843,0.362,0.2121,0.5655,0.2685,0.0932,0.78,0.1933,0.3835,0.4586,0.5338,0.6191,0.6687,0.095,0.19,0.22,0.9225,0.9675,0.8357,641.59,782.15,945.89,634.57,1.38,1356.91,4635922,400,4041.0,3207.7,248.5,0.0,0.3362,0.9025
hotpotqa,LLM_Q2E_ZS,0.5783,0.5783,0.6186,0.4956,0.7408,0.1219,0.0153,0.8764,0.6093,0.7293,0.7664,0.8001,0.838,0.8656,0.5718,0.6918,0.7407,0.9612,0.9905,0.8939,811.92,945.58,1211.11,836.86,1.23,1579.36,5233329,7405,4178.75,3550.9,291.67,0.0,0.6113,0.9445
climate_fever,LLM_Q2E_ZS,0.1372,0.1372,0.1926,0.1034,0.1853,0.043,0.0102,0.3583,0.1745,0.3074,0.3742,0.4399,0.5268,0.5888,0.144,0.2476,0.3166,0.6534,0.841,0.6499,818.94,959.74,1141.65,834.67,1.19,1611.58,5416593,1535,5555.75,3199.86,367.65,0.0,0.1773,0.5648
fever,LLM_Q2E_ZS,0.4958,0.4958,0.5373,0.4437,0.4574,0.0725,0.0095,0.6992,0.6638,0.8083,0.8494,0.8818,0.9179,0.9367,0.8158,0.8875,0.9088,0.8852,0.9652,0.9433,730.32,877.64,986.52,739.03,1.41,1356.05,5416568,6666,5555.71,3410.66,371.88,0.0,0.5302,0.8449
bright_pony,DPH_BGE_Vocab_QE,0.0611,0.0611,0.1186,0.023,0.1505,0.0598,0.0353,0.4464,0.0324,0.1136,0.18,0.2719,0.4462,0.6219,0.0,0.0179,0.0179,0.9464,1.0,0.9611,33.07,35.21,39.8,33.52,7.62,194.64,7894,112,10.68,2424.39,5.75,0.0,0.0888,0.8393
bright_pony,DPH_LLM_Q2E_ZS,0.0551,0.0551,0.1265,0.0236,0.1255,0.0562,0.0387,0.4196,0.0313,0.1295,0.2073,0.3081,0.4969,0.7003,0.0089,0.0179,0.0268,0.9375,1.0,0.9668,736.31,922.79,1061.37,765.64,35.31,805.75,7894,112,8.32,2480.11,1.15,0.0,0.0944,0.8571
scifact,DPH_BGE_Vocab_QE,0.6513,0.6513,0.6809,0.6094,0.6187,0.0867,0.0104,0.8033,0.7831,0.8802,0.9159,0.9326,0.9653,0.9727,0.91,0.9633,0.97,0.92,0.9733,0.9729,25.2,27.56,30.02,25.4,15.69,109.4,5183,300,35.27,2813.49,5.67,0.0,0.6746,0.8933
nfcorpus,DPH_BGE_Vocab_QE,0.3201,0.3228,0.2921,0.1492,0.5126,0.2331,0.0737,0.6966,0.1508,0.242,0.2847,0.3405,0.4239,0.4909,0.0712,0.1022,0.1053,0.8297,0.8947,0.7644,21.81,26.64,29.22,18.55,25.91,70.83,3633,323,25.31,2833.76,4.83,0.0,0.2873,0.7926
arguana,DPH_BGE_Vocab_QE,0.2069,0.2069,0.28,0.1453,0.1309,0.0451,0.008,0.4509,0.4509,0.7183,0.7994,0.8578,0.9282,0.9609,0.7994,0.9282,0.9609,0.7994,0.9609,0.9609,33.12,37.51,42.75,33.55,26.83,79.89,8674,1406,33.09,3311.58,6.29,0.0,0.2668,0.7183
bright_theoremqa_theorems,DPH_BGE_Vocab_QE,0.0208,0.0208,0.0275,0.0136,0.0228,0.0066,0.0013,0.0526,0.0329,0.0439,0.0614,0.0987,0.1891,0.2545,0.0132,0.1184,0.1711,0.1184,0.3553,0.2773,18.31,19.93,21.26,18.41,9.47,149.82,23839,76,27.55,3168.35,6.92,0.0,0.0238,0.0789
scidocs,DPH_BGE_Vocab_QE,0.135,0.135,0.1985,0.0904,0.2383,0.0711,0.0164,0.453,0.144,0.2702,0.3323,0.3954,0.4906,0.5619,0.041,0.101,0.156,0.761,0.927,0.6543,26.78,29.29,32.15,27.02,31.36,77.53,25657,1000,80.29,3347.78,7.55,0.0,0.1815,0.673
bright_economics,DPH_BGE_Vocab_QE,0.1373,0.1373,0.1893,0.0959,0.1731,0.0699,0.0249,0.3398,0.1446,0.2857,0.3869,0.4658,0.5961,0.6692,0.2233,0.4175,0.466,0.5825,0.8252,0.7367,38.45,43.13,49.24,38.98,9.09,177.62,50220,103,180.03,3252.59,9.44,0.0,0.1642,0.4951
bright_psychology,DPH_BGE_Vocab_QE,0.1391,0.1391,0.1927,0.1078,0.1834,0.0693,0.0164,0.3069,0.1601,0.3086,0.3791,0.477,0.5764,0.6966,0.2673,0.4257,0.505,0.5644,0.8713,0.7809,37.02,41.48,45.36,37.66,8.78,181.49,52835,101,202.29,3270.88,9.87,0.0,0.1773,0.495
bright_biology,DPH_BGE_Vocab_QE,0.2428,0.2428,0.323,0.197,0.3677,0.0845,0.0182,0.5146,0.2469,0.444,0.5231,0.6414,0.6975,0.7765,0.2718,0.4563,0.5631,0.7379,0.9126,0.8126,34.25,38.63,43.4,34.6,9.07,173.22,57359,103,86.62,3274.13,9.66,0.0,0.3039,0.6699
fiqa,DPH_BGE_Vocab_QE,0.2128,0.2128,0.2761,0.1739,0.2681,0.0582,0.0121,0.4244,0.2626,0.4326,0.5089,0.5743,0.6716,0.7368,0.3272,0.4815,0.5571,0.7052,0.8827,0.7746,28.37,31.05,34.17,28.58,27.16,84.28,57638,648,95.24,3331.81,9.87,0.0,0.2601,0.6435
bright_sustainable_living,DPH_BGE_Vocab_QE,0.1485,0.1485,0.2047,0.1173,0.1589,0.0593,0.0133,0.3426,0.2005,0.3448,0.4073,0.4702,0.6084,0.7019,0.2778,0.4259,0.5278,0.6574,0.8611,0.7641,37.1,42.38,51.43,38.05,9.0,178.45,60792,108,204.74,3287.36,9.03,0.0,0.1902,0.5648
bright_robotics,DPH_BGE_Vocab_QE,0.1313,0.1313,0.2004,0.1023,0.1653,0.0525,0.0178,0.3366,0.1782,0.3108,0.4105,0.5232,0.654,0.7111,0.2475,0.4653,0.5446,0.604,0.8317,0.7636,38.62,54.31,83.65,41.85,8.18,193.83,61961,101,85.57,3340.79,10.08,0.0,0.1757,0.495
bright_stackoverflow,DPH_BGE_Vocab_QE,0.1207,0.1207,0.1623,0.0946,0.1444,0.047,0.0134,0.2821,0.152,0.2569,0.3006,0.3573,0.4864,0.5767,0.1795,0.3419,0.4103,0.4359,0.7009,0.6166,48.93,61.62,80.45,51.41,8.11,206.21,107081,117,158.72,3346.07,13.51,0.0,0.1513,0.3761
