dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
bright_biology,DPH_RM3_Terrier_Default,0.2922,0.2922,0.3491,0.2553,0.352,0.1068,0.0182,0.4466,0.3141,0.4129,0.5156,0.6077,0.696,0.7515,0.3592,0.4854,0.5825,0.6796,0.8544,0.779,42.36,50.02,56.5,43.3,26.35,110.16,57359,103,75.34,599.08,0.0,0.14,0.3257,0.5825
bright_earth_science,DPH_Bo1_Terrier_Default,0.3001,0.3001,0.3797,0.2487,0.3602,0.1302,0.0263,0.5776,0.3507,0.5562,0.6191,0.6818,0.7462,0.7925,0.4224,0.5345,0.6207,0.8448,0.9224,0.8397,47.6,60.56,76.26,49.54,15.71,143.6,121249,116,174.82,666.21,0.0,0.17,0.3642,0.7931
bright_earth_science,DPH_RM3_Terrier_Default,0.3637,0.3637,0.4203,0.3183,0.4353,0.1509,0.0249,0.569,0.3844,0.5443,0.5808,0.6203,0.7243,0.7715,0.4397,0.5345,0.5776,0.75,0.9138,0.8212,49.63,60.07,67.96,50.95,20.11,130.49,121249,116,174.82,666.84,0.0,0.17,0.4104,0.7414
bright_economics,DPH_Bo1_Terrier_Default,0.1614,0.1614,0.2376,0.1369,0.1777,0.0854,0.0314,0.3204,0.1696,0.3842,0.4737,0.5332,0.6719,0.7418,0.3204,0.4563,0.5146,0.6408,0.9029,0.8075,47.71,58.79,67.49,49.88,15.6,146.43,50220,103,168.75,691.4,0.0,0.13,0.2158,0.5728
bright_economics,DPH_RM3_Terrier_Default,0.1699,0.1699,0.2262,0.1381,0.1708,0.0845,0.0291,0.2913,0.1809,0.362,0.4309,0.5089,0.5961,0.7048,0.301,0.4175,0.5049,0.5922,0.8738,0.7691,46.83,54.09,61.54,47.96,21.45,126.05,50220,103,168.75,635.58,0.0,0.13,0.2098,0.5049
bright_psychology,DPH_Bo1_Terrier_Default,0.1849,0.1849,0.2393,0.1526,0.199,0.0941,0.0202,0.3366,0.2178,0.3907,0.4416,0.5447,0.6466,0.7214,0.3168,0.4851,0.5248,0.6238,0.8812,0.7865,47.8,60.01,70.52,49.79,15.38,146.34,52835,101,191.01,675.97,0.0,0.13,0.2261,0.5545
bright_psychology,DPH_RM3_Terrier_Default,0.1821,0.1821,0.2255,0.1478,0.2065,0.0891,0.0191,0.3267,0.2192,0.3597,0.3943,0.4523,0.5535,0.6584,0.2871,0.4158,0.495,0.5347,0.8317,0.7283,46.42,55.09,60.69,47.67,20.46,126.97,52835,101,191.01,638.3,0.0,0.13,0.2157,0.4752
bright_robotics,DPH_Bo1_Terrier_Default,0.1173,0.1173,0.2064,0.0969,0.1385,0.0475,0.0198,0.297,0.172,0.3993,0.473,0.5453,0.6737,0.7802,0.3168,0.495,0.6238,0.6337,0.8911,0.8272,51.86,77.71,128.02,57.55,13.56,165.62,61961,101,74.28,929.49,0.0,0.13,0.1867,0.5842
bright_robotics,DPH_RM3_Terrier_Default,0.1474,0.1474,0.2086,0.1216,0.1691,0.0574,0.0178,0.3069,0.1804,0.3274,0.3963,0.4827,0.6108,0.707,0.2475,0.4158,0.5347,0.5545,0.8218,0.7538,49.2,70.06,95.89,53.09,19.59,136.38,61961,101,74.28,837.91,0.0,0.13,0.1909,0.4851
bright_stackoverflow,DPH_Bo1_Terrier_Default,0.1629,0.1629,0.2338,0.147,0.1692,0.0675,0.0195,0.3077,0.2101,0.3955,0.4414,0.5385,0.6383,0.6955,0.3248,0.547,0.5983,0.5556,0.7863,0.723,71.22,104.0,145.6,77.6,10.63,210.09,107081,117,147.42,853.93,0.0,0.21,0.2213,0.5128
bright_stackoverflow,DPH_RM3_Terrier_Default,0.1694,0.1694,0.2269,0.1497,0.1782,0.0718,0.0182,0.2821,0.2036,0.3394,0.4073,0.478,0.5707,0.6211,0.2821,0.453,0.5214,0.5214,0.7094,0.6485,65.66,90.54,118.63,69.74,14.89,171.69,107081,117,147.42,764.38,0.0,0.21,0.2116,0.453
bright_sustainable_living,DPH_Bo1_Terrier_Default,0.1519,0.1519,0.2397,0.1245,0.1651,0.0685,0.02,0.3796,0.2174,0.4357,0.5215,0.6186,0.7305,0.83,0.3796,0.5556,0.6296,0.7315,0.9444,0.8785,47.1,57.95,76.36,48.53,15.86,143.42,60792,108,193.46,718.62,0.0,0.14,0.218,0.6574
bright_sustainable_living,DPH_RM3_Terrier_Default,0.1632,0.1632,0.2369,0.1442,0.1905,0.0639,0.017,0.3333,0.2018,0.3706,0.4547,0.5504,0.6711,0.7577,0.3241,0.5093,0.5833,0.6667,0.9074,0.8116,45.6,53.34,69.61,46.91,21.59,123.68,60792,108,193.46,637.46,0.0,0.14,0.2164,0.5556
bright_leetcode,DPH_Bo1_Terrier_Default,0.2073,0.2073,0.2503,0.1737,0.2361,0.0549,0.0085,0.3803,0.264,0.3781,0.4485,0.5388,0.6954,0.8241,0.331,0.5775,0.7254,0.5704,0.8944,0.8418,232.5,279.02,320.99,232.62,3.79,567.26,413932,142,577.59,1404.47,0.0,0.49,0.2376,0.493
bright_leetcode,DPH_RM3_Terrier_Default,0.2285,0.2285,0.2592,0.1979,0.2781,0.0521,0.0076,0.3662,0.2581,0.3534,0.3892,0.4309,0.5406,0.6741,0.2746,0.4085,0.5352,0.507,0.7958,0.7033,209.67,248.28,275.23,211.64,4.57,495.22,413932,142,577.59,1351.1,0.0,0.49,0.2519,0.4648
bright_pony,DPH_Bo1_Terrier_Default,0.0529,0.0529,0.1315,0.0274,0.095,0.0616,0.041,0.4196,0.0347,0.155,0.2198,0.3449,0.5608,0.7572,0.0089,0.0179,0.0804,0.8661,1.0,0.9719,40.22,42.49,45.0,40.55,25.87,106.78,7894,112,8.32,618.04,0.0,0.09,0.1015,0.7768
bright_pony,DPH_RM3_Terrier_Default,0.0478,0.0478,0.1047,0.0224,0.105,0.0464,0.0309,0.3214,0.0246,0.1093,0.1702,0.2444,0.4376,0.6421,0.0089,0.0179,0.0268,0.7589,1.0,0.955,40.01,41.47,44.35,40.18,29.93,100.71,7894,112,8.32,611.69,0.0,0.09,0.0775,0.6607
bright_aops,DPH_Bo1_Terrier_Default,0.0418,0.0418,0.0769,0.0275,0.0869,0.0243,0.0078,0.1802,0.0452,0.106,0.1596,0.2323,0.327,0.3932,0.027,0.0811,0.0991,0.3964,0.6667,0.4603,130.32,163.89,185.34,135.48,6.95,333.31,188002,111,165.73,748.02,0.0,0.27,0.0628,0.3063
bright_aops,DPH_RM3_Terrier_Default,0.0389,0.0389,0.075,0.0271,0.0986,0.0189,0.0076,0.1441,0.0336,0.0996,0.148,0.2009,0.289,0.3561,0.018,0.0541,0.0811,0.3514,0.6577,0.4273,124.99,160.33,176.55,131.47,7.75,313.46,188002,111,165.73,783.14,0.0,0.27,0.0615,0.2523
bright_theoremqa_questions,DPH_Bo1_Terrier_Default,0.045,0.045,0.062,0.0411,0.0435,0.0103,0.0025,0.067,0.0588,0.1046,0.1372,0.1684,0.2461,0.3426,0.1082,0.1959,0.2526,0.1753,0.4536,0.3673,127.78,168.35,199.73,132.56,6.86,318.21,188002,194,165.73,900.4,0.0,0.27,0.0558,0.134
bright_theoremqa_questions,DPH_RM3_Terrier_Default,0.046,0.046,0.0573,0.0427,0.0445,0.0098,0.002,0.067,0.0576,0.0911,0.1044,0.1252,0.1653,0.2017,0.0773,0.1289,0.1598,0.1392,0.2629,0.2143,122.49,152.06,182.64,125.48,7.88,289.4,188002,194,165.73,898.48,0.0,0.27,0.0543,0.1082
bright_theoremqa_theorems,DPH_Bo1_Terrier_Default,0.0272,0.0272,0.055,0.0257,0.0345,0.0066,0.0025,0.0526,0.0329,0.1096,0.1601,0.1765,0.2245,0.3506,0.1316,0.1842,0.2763,0.1974,0.4474,0.3714,24.75,28.17,31.43,24.87,37.0,78.77,23839,76,23.79,547.36,0.0,0.11,0.0458,0.1447
bright_theoremqa_theorems,DPH_RM3_Terrier_Default,0.0286,0.0286,0.0423,0.0251,0.03,0.0079,0.0018,0.0526,0.0373,0.0504,0.1042,0.148,0.196,0.302,0.0658,0.1711,0.2368,0.1579,0.3684,0.3174,23.63,26.72,28.69,23.77,54.47,67.7,23839,76,23.79,532.99,0.0,0.11,0.0322,0.0658
scifact,BGE_Small_Dense,0.7159,0.7159,0.7446,0.6818,0.684,0.0937,0.0109,0.84,0.8302,0.9233,0.96,0.97,0.99,0.9967,0.96,0.99,0.9967,0.96,0.9967,0.9967,10.87,16.65,28.06,12.4,756.58,32.54,5183,300,7.61,1886.56,0.0,0.0,0.7385,0.9233
scifact,SPLADE_v3_PISA,0.687,0.687,0.7135,0.6558,0.6652,0.0887,0.0103,0.7967,0.7823,0.8787,0.9043,0.936,0.9667,0.9833,0.9,0.9667,0.9833,0.9067,0.9833,0.9833,7.88,17.06,23.41,9.91,148.51,33.88,5183,300,12.28,1940.82,27.86,0.0,0.709,0.8867
nfcorpus,BGE_Small_Dense,0.3367,0.3382,0.3043,0.1549,0.5295,0.2508,0.077,0.6997,0.161,0.2487,0.3048,0.3679,0.4905,0.6312,0.065,0.1115,0.161,0.8359,0.969,0.8669,10.18,13.1,18.59,10.74,655.99,29.97,3633,323,5.36,1871.26,0.0,0.0,0.2972,0.7988
nfcorpus,SPLADE_v3_PISA,0.347,0.3483,0.3033,0.1611,0.5737,0.2495,0.0747,0.7152,0.1646,0.2311,0.2817,0.3389,0.4386,0.5598,0.0619,0.0991,0.1269,0.8204,0.935,0.8177,5.9,6.64,7.66,5.98,367.92,25.87,3633,323,8.31,1904.19,19.46,0.0,0.2977,0.7833
arguana,BGE_Small_Dense,0.4262,0.4262,0.4612,0.3032,0.2946,0.0834,0.0098,0.8336,0.8336,0.9708,0.9829,0.9929,0.995,0.9964,0.9829,0.995,0.9964,0.9829,0.9964,0.9964,12.61,19.01,29.75,14.22,215.61,32.17,8674,1406,13.1,1874.05,0.0,0.0,0.4592,0.9708
arguana,SPLADE_v3_PISA,0.3633,0.3633,0.4139,0.2497,0.2377,0.0762,0.0098,0.7624,0.7624,0.9637,0.9815,0.9893,0.995,0.9957,0.9815,0.995,0.9957,0.9815,0.9957,0.9957,61.17,84.91,111.7,62.47,15.74,126.02,8674,1406,22.63,1932.32,46.94,0.0,0.411,0.9637
bright_pony,BGE_Small_Dense,0.0236,0.0236,0.0917,0.0134,0.048,0.0286,0.0321,0.2232,0.0131,0.0996,0.1668,0.2797,0.4796,0.6486,0.0089,0.0179,0.0179,0.8661,0.9911,0.9406,34.16,45.16,56.92,36.67,62.12,67.93,7894,112,12.04,1698.52,0.0,0.0,0.0605,0.7321
bright_pony,SPLADE_v3_PISA,0.2417,0.2417,0.2551,0.082,0.656,0.1768,0.0521,0.8839,0.1052,0.1997,0.2795,0.3754,0.5864,0.7464,0.0089,0.0357,0.0625,1.0,1.0,0.9804,50.64,59.86,70.76,50.48,20.79,112.22,7894,112,19.18,1746.07,40.99,0.0,0.2187,1.0
bright_theoremqa_theorems,BGE_Small_Dense,0.0588,0.0588,0.0875,0.0429,0.0605,0.0171,0.0042,0.1579,0.102,0.1623,0.2289,0.2713,0.382,0.4695,0.1579,0.2895,0.3684,0.3289,0.6053,0.4992,13.59,19.03,29.3,14.77,401.36,36.96,23839,76,34.92,1944.52,0.0,0.0,0.0741,0.2368
bright_theoremqa_theorems,SPLADE_v3_PISA,0.0301,0.0301,0.0635,0.029,0.0278,0.0079,0.0032,0.0658,0.0439,0.1195,0.1985,0.2906,0.3805,0.4588,0.1447,0.3026,0.3816,0.2632,0.5526,0.4803,56.03,85.26,111.43,56.69,18.47,131.87,23839,76,38.43,1970.2,126.24,0.0,0.0491,0.1711
scidocs,BGE_Small_Dense,0.1941,0.1941,0.2805,0.1358,0.3306,0.1014,0.0227,0.588,0.2054,0.3717,0.4619,0.549,0.6608,0.7524,0.083,0.235,0.353,0.873,0.983,0.8178,11.26,15.75,20.94,12.2,543.89,19.93,25657,1000,38.3,2299.61,0.0,0.0,0.2559,0.799
scidocs,SPLADE_v3_PISA,0.1472,0.1472,0.216,0.1008,0.268,0.0746,0.0174,0.481,0.1513,0.2871,0.3542,0.4191,0.5114,0.5837,0.051,0.112,0.163,0.775,0.937,0.6747,9.83,12.03,24.17,10.51,138.18,24.93,25657,1000,59.32,2217.69,138.94,0.0,0.1976,0.703
bright_economics,BGE_Small_Dense,0.1225,0.1225,0.1835,0.0949,0.1337,0.066,0.0246,0.2816,0.1378,0.2984,0.3825,0.4792,0.5952,0.695,0.2427,0.3981,0.5049,0.5728,0.8544,0.7607,35.67,43.94,54.52,37.34,50.69,73.7,50220,103,79.55,2163.62,0.0,0.0,0.1646,0.4854
bright_economics,SPLADE_v3_PISA,0.1316,0.1316,0.1976,0.1008,0.1662,0.0631,0.0233,0.301,0.1459,0.3356,0.4144,0.4998,0.64,0.7262,0.2718,0.4078,0.5146,0.6117,0.8738,0.7945,70.85,120.0,137.62,75.95,12.37,176.28,50220,103,70.12,2200.27,257.6,0.0,0.1774,0.4951
bright_psychology,BGE_Small_Dense,0.1356,0.1356,0.1909,0.1049,0.1676,0.0733,0.0213,0.3168,0.1558,0.3174,0.3793,0.4496,0.5929,0.6498,0.2574,0.3861,0.4257,0.5545,0.7921,0.711,35.8,41.01,59.08,37.21,49.66,74.92,52835,101,81.33,2313.82,0.0,0.0,0.1754,0.495
bright_psychology,SPLADE_v3_PISA,0.1256,0.1256,0.1768,0.093,0.1612,0.0673,0.0196,0.3069,0.1537,0.2635,0.356,0.49,0.6109,0.6982,0.2376,0.4356,0.495,0.5149,0.8713,0.7616,87.61,142.56,200.7,93.47,10.4,212.81,52835,101,80.09,2349.22,273.41,0.0,0.1555,0.4257
bright_biology,BGE_Small_Dense,0.0915,0.0915,0.1576,0.0692,0.1311,0.0447,0.013,0.2621,0.1118,0.2597,0.3376,0.4622,0.6349,0.7257,0.1068,0.3689,0.4854,0.6019,0.9029,0.7743,35.07,40.22,58.41,36.47,49.8,73.55,57359,103,88.45,2247.08,0.0,0.0,0.1391,0.5146
bright_biology,SPLADE_v3_PISA,0.1589,0.1589,0.2401,0.124,0.2292,0.068,0.0169,0.3883,0.196,0.3792,0.4718,0.5787,0.7176,0.8412,0.233,0.4854,0.6602,0.699,0.9417,0.8721,62.19,116.95,154.41,67.34,14.4,156.15,57359,103,93.61,2285.11,193.86,0.0,0.2191,0.5825
fiqa,BGE_Small_Dense,0.3713,0.3713,0.4395,0.318,0.451,0.1012,0.0174,0.6312,0.4301,0.5975,0.6824,0.7524,0.8316,0.8846,0.4877,0.6852,0.7623,0.8519,0.9475,0.9026,13.46,16.67,32.22,14.31,373.07,21.85,57638,648,85.0,2539.7,0.0,0.0,0.422,0.7809
fiqa,SPLADE_v3_PISA,0.3365,0.3365,0.395,0.281,0.4116,0.0909,0.0149,0.6034,0.399,0.5585,0.6204,0.6886,0.765,0.825,0.4306,0.5972,0.6713,0.8133,0.9259,0.8528,15.22,23.19,30.54,16.51,75.51,32.23,57638,648,120.29,2581.5,308.41,0.0,0.3815,0.7593
bright_sustainable_living,BGE_Small_Dense,0.1002,0.1002,0.1788,0.0833,0.1344,0.0426,0.0168,0.25,0.1308,0.3007,0.4028,0.477,0.5798,0.6841,0.2407,0.3981,0.5,0.6204,0.8426,0.738,39.71,52.91,82.93,42.99,43.18,81.02,60792,108,93.18,2288.95,0.0,0.0,0.1551,0.5648
bright_sustainable_living,SPLADE_v3_PISA,0.1309,0.1309,0.2239,0.1033,0.1625,0.0583,0.0202,0.3889,0.1838,0.4038,0.5076,0.5901,0.7476,0.8346,0.2778,0.537,0.6574,0.7315,0.9259,0.8746,74.21,114.7,168.86,76.49,12.58,172.81,60792,108,83.53,2325.79,305.64,0.0,0.1981,0.6481
bright_robotics,BGE_Small_Dense,0.1077,0.1077,0.1504,0.078,0.1486,0.0406,0.012,0.2871,0.1328,0.2199,0.2983,0.3768,0.4616,0.59,0.1584,0.297,0.396,0.5347,0.7822,0.6621,36.27,50.05,68.67,39.6,43.83,80.5,61961,101,93.3,2228.12,0.0,0.0,0.1308,0.4257
bright_robotics,SPLADE_v3_PISA,0.1226,0.1226,0.1848,0.0953,0.1623,0.0505,0.015,0.297,0.1484,0.3135,0.3857,0.4708,0.6173,0.712,0.2376,0.3762,0.4752,0.5941,0.8713,0.7829,122.4,166.47,195.82,122.33,8.02,272.94,61961,101,79.35,2242.69,310.51,0.0,0.1671,0.5248
bright_stackoverflow,BGE_Small_Dense,0.0798,0.0798,0.1551,0.0639,0.0967,0.0376,0.015,0.2479,0.1217,0.3312,0.3988,0.5449,0.6619,0.74,0.265,0.4615,0.5726,0.5726,0.8547,0.7737,41.04,50.85,75.54,43.77,45.18,78.96,107081,117,168.2,3132.89,0.0,0.0,0.1386,0.4701
bright_stackoverflow,SPLADE_v3_PISA,0.0859,0.0859,0.1543,0.0608,0.0984,0.0385,0.0147,0.265,0.1307,0.3046,0.3926,0.4746,0.5643,0.6139,0.2222,0.3333,0.3846,0.5983,0.812,0.6693,241.53,351.56,466.09,247.48,4.03,492.06,107081,117,198.86,3209.98,574.81,0.0,0.1323,0.5043
bright_earth_science,BGE_Small_Dense,0.2285,0.2285,0.2843,0.1926,0.2732,0.0784,0.0167,0.4828,0.274,0.404,0.4443,0.5182,0.5952,0.6671,0.2845,0.3707,0.431,0.6638,0.8966,0.7357,40.95,50.01,83.4,43.52,51.14,76.02,121249,116,190.81,3520.64,0.0,0.0,0.2723,0.6379
bright_earth_science,SPLADE_v3_PISA,0.2108,0.2108,0.2744,0.1708,0.2425,0.0784,0.0192,0.4828,0.2624,0.4018,0.467,0.5568,0.6838,0.7508,0.2328,0.4569,0.5172,0.75,0.9224,0.8079,123.18,214.9,287.97,133.01,7.58,272.37,121249,116,285.26,3623.71,516.76,0.0,0.2573,0.6638
trec_covid,BGE_Small_Dense,0.6494,0.6309,0.491,0.0828,0.869,0.682,0.5028,0.98,0.0177,0.0719,0.1191,0.1923,0.3165,0.423,0.0,0.0,0.0,1.0,1.0,1.0,23.74,31.16,50.14,25.39,158.66,54.21,171332,50,253.93,3801.94,0.0,0.0,0.5583,1.0
trec_covid,SPLADE_v3_PISA,0.6918,0.6675,0.5158,0.0896,0.914,0.732,0.5368,1.0,0.0187,0.0739,0.1223,0.1911,0.31,0.411,0.0,0.0,0.0,1.0,1.0,0.9987,35.92,47.77,80.17,36.89,29.42,103.42,171332,50,317.54,3930.72,931.79,0.0,0.5889,1.0
bright_aops,BGE_Small_Dense,0.055,0.055,0.1011,0.0414,0.1023,0.0297,0.01,0.1982,0.0563,0.1403,0.204,0.2518,0.3104,0.4062,0.036,0.0991,0.1712,0.4324,0.6126,0.4543,98.01,125.34,172.7,103.95,19.24,166.48,188002,111,288.4,3709.67,0.0,0.0,0.0844,0.3514
bright_aops,SPLADE_v3_PISA,0.0842,0.0842,0.1331,0.0583,0.1474,0.0459,0.0128,0.2883,0.0929,0.1771,0.2429,0.3108,0.3895,0.4578,0.0,0.1171,0.2072,0.5045,0.6847,0.5117,499.92,727.94,1021.37,501.54,2.04,988.33,188002,111,315.16,3814.25,1004.35,0.0,0.1153,0.4144
bright_theoremqa_questions,BGE_Small_Dense,0.1095,0.0,0.1328,0.0964,0.1221,0.0242,0.0043,0.1804,0.1319,0.1876,0.2323,0.2671,0.3401,0.4064,0.1649,0.2526,0.2938,0.3196,0.5412,0.4369,98.34,111.67,156.91,101.9,19.11,125.42,188002,194,288.4,3747.14,0.0,0.0,0.1248,0.2577
bright_theoremqa_questions,SPLADE_v3_PISA,0.0815,0.0,0.109,0.0715,0.1007,0.0186,0.0041,0.1495,0.0933,0.1586,0.2153,0.2435,0.3116,0.4133,0.1546,0.2268,0.3144,0.2938,0.5361,0.4408,363.06,574.48,703.42,388.2,2.6,614.47,188002,194,315.16,3866.75,1006.88,0.0,0.0983,0.2165
webis_touche2020,BGE_Small_Dense,0.1783,0.1756,0.3117,0.1235,0.3536,0.1612,0.0694,0.6735,0.1218,0.3118,0.4385,0.5452,0.6819,0.795,0.0408,0.102,0.1837,0.9592,1.0,0.9621,38.19,65.27,255.68,50.4,77.94,93.59,382545,49,578.06,4758.19,0.0,0.0,0.2589,0.8571
webis_touche2020,SPLADE_v3_PISA,0.3047,0.3019,0.4062,0.1824,0.5535,0.2776,0.0824,0.9184,0.191,0.3742,0.4897,0.5892,0.7214,0.8228,0.0204,0.1224,0.2653,1.0,1.0,0.9658,25.14,43.03,58.53,27.99,37.04,104.52,382545,49,761.59,5066.36,2096.62,0.0,0.3574,0.9796
bright_leetcode,BGE_Small_Dense,0.2382,0.2382,0.2681,0.1924,0.2882,0.0606,0.0082,0.4296,0.3009,0.3886,0.4229,0.4698,0.5708,0.6714,0.2817,0.4507,0.5563,0.5704,0.7817,0.6976,106.89,131.11,205.05,111.53,18.88,154.05,413932,142,620.58,4636.66,0.0,0.0,0.2612,0.5282
bright_leetcode,SPLADE_v3_PISA,0.2757,0.2757,0.3168,0.2295,0.3208,0.069,0.0097,0.4859,0.3405,0.4725,0.5171,0.5688,0.7277,0.8207,0.3873,0.5915,0.7113,0.662,0.9085,0.8426,1508.96,2194.46,2816.7,1579.2,0.63,2774.2,413932,142,897.57,4936.65,2295.82,0.0,0.3088,0.6268
quora,BGE_Small_Dense,0.8834,0.8834,0.8955,0.8523,0.8759,0.1338,0.0153,0.9789,0.9541,0.9896,0.9949,0.9976,0.9993,0.9997,0.9872,0.9973,0.9985,0.9983,0.9999,0.9998,46.75,63.84,137.31,52.36,85.87,28.82,522931,10000,771.41,2852.21,0.0,0.0,0.8941,0.9962
quora,SPLADE_v3_PISA,0.8172,0.8172,0.8362,0.7774,0.8077,0.1247,0.0147,0.9492,0.9118,0.9692,0.9813,0.9898,0.9952,0.9971,0.9637,0.9878,0.9917,0.991,0.9987,0.9978,24.91,44.86,64.95,28.05,41.18,41.17,522931,10000,124.83,2927.67,831.16,0.0,0.8335,0.9846
nq,BGE_Small_Dense,0.4181,0.4181,0.4743,0.3579,0.37,0.0735,0.0105,0.6567,0.6178,0.8065,0.8699,0.9092,0.9457,0.9631,0.8517,0.936,0.9563,0.8873,0.9693,0.9645,193.74,218.18,248.9,198.48,20.26,71.03,2681468,3452,3927.93,7565.98,0.0,0.0,0.4633,0.8302
nq,SPLADE_v3_PISA,0.5499,0.5499,0.5935,0.488,0.5022,0.0884,0.0113,0.7775,0.7443,0.8987,0.9323,0.9528,0.9745,0.982,0.92,0.9684,0.9771,0.9447,0.9864,0.983,84.64,176.71,288.87,100.22,10.33,118.3,2681468,3452,4464.61,9214.15,13692.94,0.0,0.5876,0.9154
dbpedia_entity,BGE_Small_Dense,0.3832,0.3696,0.4245,0.2458,0.7301,0.2958,0.0939,0.88,0.2295,0.3987,0.4788,0.5533,0.6516,0.7203,0.0875,0.175,0.215,0.9625,0.9825,0.8851,350.13,392.26,479.21,358.74,5.88,280.71,4635922,400,7623.98,9364.37,0.0,0.0,0.396,0.9575
dbpedia_entity,SPLADE_v3_PISA,0.4254,0.4099,0.4782,0.2972,0.7274,0.3497,0.1147,0.8975,0.2635,0.4686,0.5568,0.6341,0.7168,0.7771,0.13,0.2475,0.3075,0.9675,0.9925,0.906,114.4,316.72,446.38,151.72,7.66,228.65,4635922,400,5552.93,5342.04,14912.78,0.0,0.4473,0.9575
hotpotqa,BGE_Small_Dense,0.654,0.654,0.6878,0.5774,0.7958,0.1377,0.0164,0.9114,0.6885,0.7866,0.8208,0.8506,0.8833,0.9084,0.6729,0.7814,0.8269,0.9687,0.99,0.9269,329.06,363.09,514.83,340.78,11.21,110.87,5233329,7405,7736.52,10176.84,7395.08,0.0,0.681,0.9577
hotpotqa,SPLADE_v3_PISA,0.6759,0.6759,0.7057,0.5915,0.8601,0.1379,0.0161,0.9495,0.6896,0.7771,0.8052,0.8338,0.8666,0.887,0.6273,0.7392,0.7789,0.9831,0.995,0.9114,254.26,1057.67,3721.51,543.51,1.92,550.16,5233329,7405,5838.86,5839.92,21057.58,0.0,0.7001,0.9769
climate_fever,BGE_Small_Dense,0.2786,0.2786,0.351,0.2149,0.3721,0.088,0.0166,0.6352,0.3387,0.5162,0.5877,0.6446,0.7261,0.7808,0.3049,0.4723,0.5596,0.8554,0.944,0.8227,413.3,478.61,684.32,427.49,8.43,165.34,5416593,1535,9029.22,10902.59,0.0,0.0,0.3346,0.8104
climate_fever,SPLADE_v3_PISA,0.2091,0.2091,0.277,0.159,0.2847,0.0655,0.0138,0.5101,0.259,0.422,0.4973,0.5615,0.639,0.698,0.2182,0.3603,0.4332,0.7909,0.914,0.7522,755.86,2941.07,5311.81,1227.17,0.92,1205.12,5416593,1535,7101.39,5558.98,30443.55,0.0,0.26,0.7205
fever,BGE_Small_Dense,0.8194,0.8194,0.8294,0.7765,0.8216,0.1007,0.0108,0.9598,0.9129,0.9443,0.9545,0.9632,0.9699,0.9745,0.9244,0.9463,0.9533,0.9872,0.9949,0.9793,478.55,530.87,595.46,483.74,9.06,135.61,5416568,6666,9029.18,11377.29,22266.35,0.0,0.8274,0.9824
fever,SPLADE_v3_PISA,0.7684,0.7684,0.7858,0.7257,0.7648,0.0964,0.0107,0.9167,0.8701,0.93,0.9453,0.9558,0.9667,0.9721,0.9118,0.9388,0.9469,0.9808,0.9979,0.978,168.5,411.2,933.98,234.97,4.1,269.73,5416568,6666,7101.33,5866.41,31763.24,0.0,0.783,0.9697
