dataset,pipeline,ndcg_10,exp_ndcg_10,ndcg_100,map_100,mrr_10,p_10,p_100,strict_10,recall_10,recall_50,recall_100,recall_200,recall_500,recall_1000,completeness_100,completeness_500,completeness_1000,strict_100,strict_1000,oracle_ndcg_10,retrieval_api_p50_ms,retrieval_api_p90_ms,retrieval_api_p99_ms,retrieval_api_mean_ms,batch_throughput_qps,harness_per_query_ms,num_docs,num_queries,index_disk_mb,host_ram_peak_mb,index_build_s,cache_load_s,ndcg_50,strict_50
bright_sustainable_living,DPH,0.1669,0.1669,0.2404,0.1384,0.2026,0.0657,0.0176,0.3889,0.2069,0.3821,0.4593,0.5721,0.7093,0.8037,0.2963,0.5278,0.6111,0.7222,0.9352,0.8608,29.29,32.62,40.22,29.94,36.0,83.68,60792,108,193.46,4207.52,0.0,0.03,0.2196,0.6389
bright_leetcode,BM25_Default,0.2496,0.2496,0.283,0.2106,0.3028,0.0592,0.0085,0.4155,0.2898,0.3475,0.4444,0.5089,0.6835,0.7905,0.3028,0.5423,0.6972,0.5915,0.8873,0.8124,123.51,145.08,162.22,124.25,7.37,302.12,413932,142,577.59,4232.58,0.0,0.24,0.2659,0.4859
bright_leetcode,BM25_RM3_Terrier_Default,0.2183,0.2183,0.2503,0.1911,0.2758,0.0507,0.0073,0.338,0.2311,0.3344,0.3755,0.44,0.5359,0.5946,0.2606,0.3944,0.4577,0.507,0.7254,0.6257,228.86,272.9,300.18,230.73,4.22,534.35,413932,142,577.59,4572.3,0.0,0.24,0.2432,0.4577
bright_leetcode,BM25_Bo1_Terrier_Default,0.2143,0.2143,0.2534,0.1831,0.2448,0.0556,0.0081,0.3803,0.2593,0.3675,0.4309,0.5289,0.6439,0.7656,0.3099,0.5141,0.662,0.5563,0.8662,0.7891,247.45,311.5,364.22,249.46,3.93,575.46,413932,142,577.59,4806.78,0.0,0.24,0.2429,0.493
bright_leetcode,DPH,0.2418,0.2418,0.2819,0.207,0.2895,0.057,0.0087,0.4014,0.2816,0.3839,0.4549,0.5464,0.7054,0.8164,0.3239,0.5915,0.7254,0.5986,0.8944,0.8351,129.03,152.7,172.87,131.07,7.56,307.47,413932,142,577.59,4936.44,0.0,0.24,0.2688,0.5141
bright_pony,BM25_Default,0.0252,0.0252,0.0836,0.0124,0.0636,0.0259,0.0279,0.2143,0.0151,0.0798,0.1439,0.2507,0.4884,0.7426,0.0,0.0179,0.0625,0.8304,1.0,0.9698,28.71,29.56,30.63,28.66,40.21,76.82,7894,112,8.32,4910.28,0.0,0.01,0.0543,0.7054
bright_pony,BM25_RM3_Terrier_Default,0.0193,0.0193,0.0613,0.0102,0.042,0.0205,0.0196,0.1339,0.0114,0.0586,0.1113,0.1911,0.3983,0.6479,0.0089,0.0179,0.0357,0.6518,1.0,0.9568,38.29,41.83,43.29,38.96,32.66,96.93,7894,112,8.32,4902.43,0.0,0.01,0.0402,0.4732
bright_pony,BM25_Bo1_Terrier_Default,0.0254,0.0254,0.0848,0.016,0.0441,0.0277,0.0287,0.1786,0.0155,0.0828,0.1491,0.2692,0.5114,0.7464,0.0,0.0179,0.0625,0.6964,1.0,0.9733,39.06,42.17,44.23,39.45,30.3,99.44,7894,112,8.32,4894.14,0.0,0.01,0.0548,0.5625
bright_pony,DPH,0.0639,0.0639,0.126,0.0244,0.1452,0.0661,0.0376,0.4732,0.0358,0.129,0.1993,0.3059,0.4841,0.6766,0.0089,0.0179,0.0268,0.9286,1.0,0.9601,26.69,29.19,30.33,27.25,38.71,75.51,7894,112,8.32,4900.38,0.0,0.01,0.0968,0.875
bright_aops,BM25_Default,0.0604,0.0604,0.1011,0.0412,0.1245,0.0306,0.0095,0.2072,0.059,0.1347,0.1884,0.2453,0.3431,0.4085,0.018,0.1081,0.1532,0.4505,0.6937,0.476,314.96,340.59,362.47,318.37,2.95,760.21,188002,111,165.73,791.92,0.0,0.25,0.0872,0.3514
bright_aops,BM25_RM3_Terrier_Default,0.0476,0.0476,0.0775,0.0328,0.1041,0.0216,0.0071,0.1622,0.0418,0.093,0.1422,0.2023,0.2878,0.3634,0.027,0.0721,0.1171,0.3514,0.6216,0.4255,619.94,652.3,705.25,623.29,1.47,1491.86,188002,111,165.73,885.42,0.0,0.25,0.0637,0.2613
bright_aops,BM25_Bo1_Terrier_Default,0.047,0.047,0.0823,0.0336,0.0966,0.0234,0.0077,0.1712,0.044,0.1212,0.1602,0.2303,0.3386,0.4248,0.027,0.1171,0.1532,0.3874,0.6937,0.4899,616.54,657.81,723.74,621.23,1.46,1495.44,188002,111,165.73,856.23,0.0,0.25,0.072,0.3243
bright_aops,DPH,0.0536,0.0536,0.0966,0.0364,0.1082,0.0306,0.0098,0.2072,0.0578,0.1433,0.1916,0.2361,0.3154,0.3776,0.009,0.0811,0.1171,0.4685,0.6577,0.4433,313.51,336.65,351.24,316.05,3.05,746.57,188002,111,165.73,853.61,0.0,0.25,0.0838,0.3964
bright_theoremqa_questions,BM25_Default,0.07,0.07,0.0863,0.0607,0.0804,0.0155,0.0029,0.1134,0.0852,0.1222,0.16,0.2269,0.2956,0.3814,0.1237,0.2268,0.3144,0.2165,0.4691,0.4004,51.98,65.32,79.15,53.03,17.31,135.5,188002,194,165.73,692.48,0.0,0.36,0.0794,0.1546
bright_theoremqa_questions,BM25_RM3_Terrier_Default,0.0595,0.0595,0.0713,0.0582,0.0632,0.0124,0.0022,0.0722,0.0627,0.0865,0.1149,0.1346,0.17,0.2223,0.0876,0.1289,0.1804,0.1495,0.2784,0.2344,80.34,106.78,135.39,83.67,12.11,195.9,188002,194,165.73,825.06,0.0,0.36,0.0661,0.1134
bright_theoremqa_questions,BM25_Bo1_Terrier_Default,0.0503,0.0503,0.0655,0.0454,0.0558,0.0119,0.0024,0.067,0.0593,0.102,0.1295,0.1693,0.2621,0.3416,0.1031,0.2113,0.2629,0.1649,0.4381,0.3625,87.82,118.19,151.98,91.07,11.56,208.12,188002,194,165.73,907.87,0.0,0.36,0.0601,0.134
bright_theoremqa_questions,DPH,0.0656,0.0656,0.0852,0.0595,0.0686,0.0139,0.003,0.1031,0.0809,0.1196,0.1659,0.2114,0.2964,0.3698,0.1289,0.2268,0.2938,0.2165,0.4742,0.3921,53.78,68.64,84.06,55.03,18.91,133.06,188002,194,165.73,836.34,0.0,0.36,0.076,0.1546
bright_theoremqa_theorems,BM25_Default,0.0192,0.0192,0.0346,0.0119,0.0178,0.0066,0.0018,0.0658,0.0395,0.0811,0.114,0.1535,0.2445,0.3289,0.0658,0.1974,0.25,0.1711,0.4211,0.3494,13.45,15.11,16.74,13.71,55.82,53.01,23839,76,23.79,463.84,0.0,0.11,0.0284,0.1184
bright_theoremqa_theorems,BM25_RM3_Terrier_Default,0.0082,0.0082,0.0264,0.0065,0.006,0.0026,0.0016,0.0263,0.0197,0.057,0.1096,0.1469,0.2025,0.2845,0.0789,0.1447,0.2237,0.1447,0.3684,0.3026,22.32,24.51,29.03,22.5,54.29,65.96,23839,76,23.79,511.77,0.0,0.11,0.0173,0.0789
bright_theoremqa_theorems,BM25_Bo1_Terrier_Default,0.0248,0.0248,0.0512,0.0217,0.0261,0.0066,0.0025,0.0658,0.0395,0.1031,0.1601,0.1952,0.2467,0.3443,0.1184,0.2105,0.2895,0.2105,0.4079,0.3586,24.14,27.87,32.08,24.53,52.96,70.16,23839,76,23.79,572.71,0.0,0.11,0.0412,0.1316
bright_theoremqa_theorems,DPH,0.0248,0.0248,0.0388,0.0196,0.0307,0.0066,0.0017,0.0526,0.0329,0.068,0.0965,0.1491,0.2047,0.3297,0.0526,0.1316,0.25,0.1447,0.4342,0.3518,13.84,15.32,16.32,13.96,76.17,48.51,23839,76,23.79,534.13,0.0,0.11,0.0333,0.1053
scifact,DPH_Bo1_Terrier_Default,0.6375,0.6375,0.6647,0.5845,0.5899,0.089,0.0104,0.82,0.8073,0.915,0.9203,0.9483,0.965,0.9767,0.9167,0.9633,0.9767,0.9233,0.9767,0.9767,27.08,28.95,30.56,27.24,37.94,72.34,5183,300,25.53,854.44,0.0,0.11,0.6636,0.92
scifact,DPH_RM3_Terrier_Default,0.658,0.658,0.6857,0.618,0.6198,0.0873,0.0103,0.7967,0.7887,0.8827,0.9117,0.9357,0.9643,0.9867,0.9067,0.96,0.9867,0.9167,0.9867,0.9867,27.26,29.2,30.94,27.49,43.92,69.22,5183,300,25.53,890.55,0.0,0.11,0.6807,0.8867
nfcorpus,DPH_Bo1_Terrier_Default,0.3368,0.338,0.3074,0.1618,0.5226,0.252,0.0794,0.678,0.1634,0.2601,0.307,0.3636,0.4611,0.5469,0.0836,0.1269,0.1455,0.8142,0.904,0.7987,26.09,28.34,29.72,23.27,46.59,60.07,3633,323,18.6,870.4,0.0,0.09,0.3026,0.7864
