dataset,num_queries,baseline_ndcg10,baseline_r100,baseline_r1000,raw_ceiling_best_w_ndcg10,raw_ceiling_best_w_delta,raw_ceiling_mu010_ndcg10,raw_ceiling_mu010_delta,eligible_ceiling_best_w_ndcg10,eligible_ceiling_best_w_delta,eligible_ceiling_mu010_ndcg10,eligible_ceiling_mu010_delta,eligible_ceiling_best_w_r1000,eligible_ceiling_best_w_delta_r1000,salience_10k_ndcg10,salience_10k_delta,specificity_10k_ndcg10,specificity_10k_delta,hybrid_10k_ndcg10,hybrid_10k_delta,stratified_10k_ndcg10,stratified_10k_delta,coverage_10k_ndcg10,coverage_10k_delta
scifact,50,0.6444092094619797,0.93,0.98,0.9069446964078732,0.26253548694589357,0.7226333300099064,0.07822412054792671,0.9069446964078732,0.26253548694589357,0.7152519250813356,0.07084271561935596,1.0,0.020000000000000018,0.9069446964078732,0.26253548694589357,0.9069446964078732,0.26253548694589357,0.9069446964078732,0.26253548694589357,0.9069446964078732,0.26253548694589357,0.9043261013364442,0.25991689187446454
bright_aops,50,0.03722687307926549,0.19511904761904764,0.4589285714285714,0.12446411274477566,0.08723723966551017,0.038903894107316025,0.0016770210280505349,0.12446411274477566,0.08723723966551017,0.03868920984814369,0.0014623367688781988,0.6178571428571429,0.15892857142857147,0.12231918856017655,0.08509231548091106,0.12231918856017655,0.08509231548091106,0.12231918856017655,0.08509231548091106,0.12129694128528298,0.08407006820601749,0.10846468097057987,0.07123780789131438
nfcorpus,50,0.30982510530207336,0.2539590206959386,0.3558699572868845,0.767677555906116,0.4578524506040426,0.4718956674049345,0.16207056210286114,0.7383888583383559,0.4285637530362825,0.4705913453656376,0.16076624006356427,0.7667793047023537,0.4109093474154692,0.7383888583383559,0.4285637530362825,0.7383888583383559,0.4285637530362825,0.7383888583383559,0.4285637530362825,0.7383888583383559,0.4285637530362825,0.7383888583383559,0.4285637530362825
trec_covid,50,0.6065441155447122,0.12064330929220614,0.4486241257913916,0.9112831068460581,0.30473899130134585,0.7010034227480115,0.09445930720329931,0.9104991241562713,0.3039550086115591,0.6994593989233876,0.09291528337867538,0.5315273706174284,0.08290324482603678,0.9004781408514074,0.2939340253066952,0.8948607130414757,0.2883165974967635,0.8944171101624682,0.28787299461775595,0.9018866421867814,0.29534252664206917,0.886033377348002,0.2794892618032898
